jp,cn,context
無現鬼道流,无现鬼道流,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:22。仅作语境审校参考，不自动替换。
狩野,狩野,仅限完整【说话人】字段；不得用作正文子串替换 | AL 五篇；pf-al-self-adjudication-v1 项目编辑定名；字形在简繁中不变。；来源 pf-al-table:80。仅作语境审校参考，不自动替换。
珠瀬さん,珠濑,EX 各篇；正式称谓证据；来源 pf-ex-table:27。仅作语境审校参考，不自动替换。
珠瀬壬姫,珠濑壬姬,EX 各篇；主库术语表；来源 pf-ex-table:80。仅作语境审校参考，不自动替换。
珠瀬様,珠濑小姐,EX 各篇；本篇人物关系与全文审核；来源 pf-ex-table:81。仅作语境审校参考，不自动替换。
球技大会,球类大赛,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:38。仅作语境审校参考，不自动替换。
男の声１,男人的声音1,仅限完整【说话人】字段；不得用作正文子串替换
男の声２,男人的声音2,仅限完整【说话人】字段；不得用作正文子串替换
男の声３,男人的声音3,仅限完整【说话人】字段；不得用作正文子串替换
異星起源種,异星起源物种,AL 五篇；pf-al-r0-v2 confirmed；official exact Alternative JP/CN pair alternative:alternative16.rio:1151153770:90883:255；来源 pf-al-table:7。仅作语境审校参考，不自动替换。
白秋祭,白秋祭,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:82。仅作语境审校参考，不自动替换。
白銀……食べてる？,白银……在吃吗？,EX 各篇；用户审定；来源 pf-ex-table:83。仅作语境审校参考，不自动替换。
白銀君,白银同学,EX 各篇；正式称谓证据；来源 pf-ex-table:5。仅作语境审校参考，不自动替换。
白銀君ちょっとッ！！,白银同学，等一下！！,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:84。仅作语境审校参考，不自动替换。
白銀武,白银武,EX 各篇；主库术语表；来源 pf-ex-table:55。仅作语境审校参考，不自动替换。
白陵,白陵,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | EX 各篇；主库术语表；来源 pf-ex-table:15。仅作语境审校参考，不自动替换。
白陵大学付属柊学園,白陵大学附属柊学园,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:56。仅作语境审校参考，不自动替换。
皆琉神威,皆琉神威,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:17。仅作语境审校参考，不自动替换。
真那様,真那大人,EX 各篇；本篇人物关系与全文审核；来源 pf-ex-table:57。仅作语境审校参考，不自动替换。
着剣,拔剑,AL 五篇；pf-al-r0-v17 confirmed；official exact Alternative pair alternative:alternative16.rio:1150746756:18141:15；来源 pf-al-table:49。仅作语境审校参考，不自动替换。
着陸ユニット,登陆舱,AL 五篇；pf-al-r0-v13 confirmed；repeated official Alternative exact pairs alternative:alternative16.rio:1143184112:9389:36; alternative:alternative16.rio:1143184112:9768:37; alternative:alternative16.rio:1143184112:11082:50；来源 pf-al-table:30。仅作语境审校参考，不自动替换。
神代,神代,仅限完整【说话人】字段；不得用作正文子串替换
神代・巴,神代、巴,仅限完整【说话人】字段；不得用作正文子串替换
神代・巴・戎,神代・巴・戎,EX 各篇；主库术语表；来源 pf-ex-table:23。仅作语境审校参考，不自动替换。
神代・戎,神代、戎,仅限完整【说话人】字段；不得用作正文子串替换
神宮司,神宫司,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | EX 各篇；主库术语表；来源 pf-ex-table:35。仅作语境审校参考，不自动替换。
神宮司まりも,神宫司麻理茉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | AL 五篇；pf-al-r0-v1 confirmed；pf-al-terms-v1; official Alternative exact speaker alias 915 instances；来源 pf-al-table:61。仅作语境审校参考，不自动替换。
神宮司先生,神宫司老师,EX 各篇；正式称谓证据；来源 pf-ex-table:58。仅作语境审校参考，不自动替换。
神宮司教官,神宫司教官,仅限完整【说话人】字段；不得用作正文子串替换 | AL 五篇；pf-al-self-adjudication-v1 关系阶段裁决；岗位加姓氏，符合训练校称谓。；来源 pf-al-table:68。仅作语境审校参考，不自动替换。
福引係,抽奖员,仅限完整【说话人】字段；不得用作正文子串替换
移し身の術法,移身之术,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:85。仅作语境审校参考，不自动替换。
突撃前衛,突击前卫,"AL 五篇；pf-al-r0-v15 confirmed；repeated official Alternative exact pairs, including alternative:alternative16.rio:1143184112:37273:202 and alternative:alternative16.rio:1143670360:71871:291；来源 pf-al-table:38。仅作语境审校参考，不自动替换。"
竹宮,竹宫,仅限完整【说话人】字段；不得用作正文子串替换 | AL 五篇；pf-al-self-adjudication-v1 项目编辑定名；MAGES 官方页确认角色日文全名竹宮千夏；中文采用透明简体字。；来源 pf-al-table:78。仅作语境审校参考，不自动替换。
竹宮さん,竹宫,AL 五篇；pf-al-self-adjudication-v1 关系阶段裁决；同届关系不机械翻译さん。；来源 pf-al-table:82。仅作语境审校参考，不自动替换。
管制ユニット,管制组件,AL 五篇；pf-al-self-adjudication-v1 正式 Alternative 日中语料 confirmed；服从 R0 v3/v8/v10/v12/v18/v20，并追溯应用到本轮派生候选。；来源 pf-al-table:4。仅作语境审校参考，不自动替换。
米国,美国,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
純夏,纯夏,仅限完整【说话人】字段；不得用作正文子串替换
純夏ちゃん,纯夏,EX 各篇；正式称谓证据；来源 pf-ex-table:11。仅作语境审校参考，不自动替换。
総合戦闘技術評価演習,综合战斗技术评价演习,AL 五篇；pf-al-r0-v4 confirmed；official exact Muv-Luv/Alternative pairs muvluv:muvluv16_chn.rio:537991298:76739:613; alternative:alternative16.rio:1131383402:105022:278; alternative:alternative16.rio:1432733660:8683:28；来源 pf-al-table:10。仅作语境审校参考，不自动替换。
総戦技,综战技,AL 五篇；pf-al-r0-v5 confirmed；official exact Alternative usage alternative:alternative16.rio:1134118512:127871:343; alternative:alternative16.rio:1142377674:38655:149；来源 pf-al-table:12。仅作语境审校参考，不自动替换。
総戦技演習,综战技演习,AL 五篇；pf-al-r0-v5 confirmed；official exact Alternative usage alternative:alternative16.rio:1132177038:82443:233; alternative:alternative16.rio:1138618846:113337:330；来源 pf-al-table:16。仅作语境审校参考，不自动替换。
総戦技評価演習,综战技评价演习,AL 五篇；pf-al-r0-v5 confirmed；official exact Alternative usage alternative:alternative16.rio:1134118512:127871:343; alternative:alternative16.rio:1142377674:137394:599；来源 pf-al-table:15。仅作语境审校参考，不自动替换。
美琴,美琴,仅限完整【说话人】字段；不得用作正文子串替换
英国,英国,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
茜,茜,仅限完整【说话人】字段；不得用作正文子串替换
藤澤,藤泽,仅限完整【说话人】字段；不得用作正文子串替换 | AL 五篇；项目姓名定名；MAGES 官方日文角色名，中文透明简化。；来源 pf-al-table:75。仅作语境审校参考，不自动替换。
融資,贷款／贷款置换（银行语境）,EX 各篇；第二遍全文审核；来源 pf-ex-table:39。仅作语境审校参考，不自动替换。
衛士候補生,卫士候补生,AL 五篇；pf-al-r0-v1 confirmed；official exact JP/CN pair: muvluv:muvluv16_chn.rio:1435824342:49035:326；来源 pf-al-table:85。仅作语境审校参考，不自动替换。
覆面の男１,蒙面男子1,仅限完整【说话人】字段；不得用作正文子串替换
覆面の男２,蒙面男子2,仅限完整【说话人】字段；不得用作正文子串替换
訓練兵たち,训练兵们,仅限完整【说话人】字段；不得用作正文子串替换
訓練兵１,训练兵1,仅限完整【说话人】字段；不得用作正文子串替换
訓練兵２,训练兵2,仅限完整【说话人】字段；不得用作正文子串替换
訓練兵３,训练兵3,仅限完整【说话人】字段；不得用作正文子串替换
訓練兵４,训练兵4,仅限完整【说话人】字段；不得用作正文子串替换
訓練小隊,训练小队,AL 五篇；pf-al-r0-v1 confirmed；transparent structured term consistent with 第207卫士训练小队；来源 pf-al-table:77。仅作语境审校参考，不自动替换。
訓練小隊全員,训练小队全员,仅限完整【说话人】字段；不得用作正文子串替换
謎の人物Ａ,谜之人物A,仅限完整【说话人】字段；不得用作正文子串替换
謎の人物Ｂ・Ｃ・Ｄ,谜之人物B·C·D,仅限完整【说话人】字段；不得用作正文子串替换
警備部隊隊長,警备部队队长,仅限完整【说话人】字段；不得用作正文子串替换
警備隊員,警备队员,仅限完整【说话人】字段；不得用作正文子串替换
軌道降下兵,轨道降下兵,本作采用轨道降下兵；旧表轨道潜水员错误，不自动改正文中的其他译法 | AL 五篇；用户最终裁定；正式兵种。；来源 pf-al-table:93。仅作语境审校参考，不自动替换。
軌道降下兵団,轨道降下兵团,AL 五篇；用户最终裁定；正式编制。；来源 pf-al-table:96。仅作语境审校参考，不自动替换。
軍曹,中士,AL 五篇；pf-al-r0-v1 confirmed；official exact JP/CN pairs including muvluv:muvluv16_chn.rio:537991298:46303:415；来源 pf-al-table:69。仅作语境审校参考，不自动替换。
速瀬中尉,速濑中尉,仅限完整【说话人】字段；不得用作正文子串替换
部隊長,部队长,AL 五篇；pf-al-r0-v9 confirmed；multiple official exact Alternative pairs for 伊隅/速瀬 command appointments；来源 pf-al-table:22。仅作语境审校参考，不自动替换。
醍三郎,醍三郎,仅限完整【说话人】字段；不得用作正文子串替换 | EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:4。仅作语境审校参考，不自动替换。
醍三郎殿,醍三郎大人,EX 各篇；本篇人物关系与全文审核；来源 pf-ex-table:59。仅作语境审校参考，不自动替换。
重力偏差,重力偏差,"AL 五篇；pf-al-r0-v19 confirmed；official exact Alternative pairs, including alternative:alternative16.rio:1144892310:124214:514 and alternative:alternative16.rio:1144892310:57160:214；来源 pf-al-table:60。仅作语境审校参考，不自动替换。"
銀行強盗１,银行劫匪1,仅限完整【说话人】字段；不得用作正文子串替换
銀行強盗１・２,银行劫匪1、2,仅限完整【说话人】字段；不得用作正文子串替换
銀行強盗２,银行劫匪2,仅限完整【说话人】字段；不得用作正文子串替换
鎧衣君,铠衣,EX 各篇；正式称谓证据；来源 pf-ex-table:21。仅作语境审校参考，不自动替换。
鎧衣尊人,铠衣尊人,EX 各篇；主库术语表；来源 pf-ex-table:86。仅作语境审校参考，不自动替换。
鏡花水月,镜花水月,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:87。仅作语境审校参考，不自动替换。
鑑さん,鉴同学／纯夏（按句重组）,EX 各篇；正式称谓证据；按语境处理；来源 pf-ex-table:7。仅作语境审校参考，不自动替换。
鑑純夏,鉴纯夏,EX 各篇；主库术语表；来源 pf-ex-table:88。仅作语境审校参考，不自动替换。
間接思考制御,间接思考控制,AL 五篇；pf-al-self-adjudication-v1 正式 Alternative 日中语料 confirmed；服从 R0 v3/v8/v10/v12/v18/v20，并追溯应用到本轮派生候选。；来源 pf-al-table:17。仅作语境审校参考，不自动替换。
陽動,佯动,AL 五篇；pf-al-r0-v6 confirmed；official exact Alternative pairs alternative:alternative16.rio:1143184112:7011:22; alternative:alternative16.rio:1143184112:7199:23; alternative:alternative16.rio:1146277752:71155:62；来源 pf-al-table:13。仅作语境审校参考，不自动替换。
雨乞い中隊,乞雨中队,AL 五篇；用户最终裁定；篇内释义性别称。；来源 pf-al-table:39。仅作语境审校参考，不自动替换。
雷電,雷电,仅限完整【说话人】字段；不得用作正文子串替换 | EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:13。仅作语境审校参考，不自动替换。
韮沢,韭泽,AL 五篇；pf-al-self-adjudication-v1 项目编辑定名；按日文汉字透明简化；不伪称正式中文实例。；来源 pf-al-table:73。仅作语境审校参考，不自动替换。
韮沢助教,韭泽助教,仅限完整【说话人】字段；不得用作正文子串替换
音紋,声纹,AL 五篇；pf-al-r0-v17 confirmed；repeated official Alternative exact pairs alternative:alternative16.rio:1146152950:40819:39; alternative:alternative16.rio:1146152950:59000:73；来源 pf-al-table:53。仅作语境审校参考，不自动替换。
風間少尉,风间少尉,仅限完整【说话人】字段；不得用作正文子串替换
香月先生,香月老师,EX 各篇；正式称谓证据；来源 pf-ex-table:30。仅作语境审校参考，不自动替换。
鬼灯,那些畜生,AL 五篇；用户接受的语境性裁决；泛指 BETA 的辱称，不是物种名。；来源 pf-al-table:86。仅作语境审校参考，不自动替换。
鬼灯野郎,那些畜生,AL 五篇；用户接受的语境性裁决；泛指 BETA 的辱称，不是物种名。；来源 pf-al-table:87。仅作语境审校参考，不自动替换。
Ａ小隊,A小队,仅限完整【说话人】字段；不得用作正文子串替换
Ｂ小隊,B小队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ＣＰ,ＣＰ,仅限完整【说话人】字段；不得用作正文子串替换 | AL 五篇；pf-al-self-adjudication-v1 正式 Alternative 日中语料 confirmed；服从 R0 v3/v8/v10/v12/v18/v20，并追溯应用到本轮派生候选。；来源 pf-al-table:18。仅作语境审校参考，不自动替换。
ＥＦ－２０００,ＥＦ－2000,AL 五篇；pf-al-r0-v15 confirmed；official exact Alternative pair alternative:alternative16.rio:1143670360:9792:34；来源 pf-al-table:37。仅作语境审校参考，不自动替换。
Ｆ分隊全員,F分队全员,仅限完整【说话人】字段；不得用作正文子串替换
ＨＱ,ＨＱ,仅限完整【说话人】字段；不得用作正文子串替换 | AL 五篇；pf-al-self-adjudication-v1 正式 Alternative 日中语料 confirmed；服从 R0 v3/v8/v10/v12/v18/v20，并追溯应用到本轮派生候选。；来源 pf-al-table:52。仅作语境审校参考，不自动替换。
ＰＸ,ＰＸ,AL 五篇；pf-al-self-adjudication-v1 正式 Alternative 日中语料 confirmed；服从 R0 v3/v8/v10/v12/v18/v20，并追溯应用到本轮派生候选。；来源 pf-al-table:9。仅作语境审校参考，不自动替换。
ＳＴＡ,STA,EX 各篇；用户审定；来源 pf-ex-table:89。仅作语境审校参考，不自动替换。
ＴＱアームズ,TQ Arms,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:60。仅作语境审校参考，不自动替换。
ユーロファイタス,尤罗法伊塔斯公司,2026-09-09 用户审定；雨舞者中的公司及其派遣部队；不改变其他作品。
ダンサー,舞者,2026-09-09 用户审定；雨舞者军事呼号；保留原编号。
アクイラ,大鹫,2026-09-09 用户审定；小鸡潜降兵单机及队伍呼号；复数队伍称呼为大鹫队。
ライトニング,闪电,2026-09-09 用户审定；继承军事呼号；保留原编号及全员范围。
ブートストラップ,布特斯特拉普,2026-09-09 第二轮用户审定；仅本作对应专名语境；单机保留编号；集体称谓按中队语境；不改受保护旧译。
フェイズ４,四阶,2026-09-09 第二轮用户审定；仅本作对应专名语境；单机保留编号；集体称谓按中队语境；不改受保护旧译。
スタブ,地下茎,2026-09-09 第二轮用户审定；仅本作对应专名语境；单机保留编号；集体称谓按中队语境；不改受保护旧译。
ヴァルキリー,女武神,2026-09-09 第二轮用户审定；仅本作对应专名语境；单机保留编号；集体称谓按中队语境；不改受保护旧译。
ヴァルキリーズ,女武神中队,2026-09-09 第二轮用户审定；仅本作对应专名语境；单机保留编号；集体称谓按中队语境；不改受保护旧译。
ブレード,刀刃,2026-09-09 第二轮用户审定；仅本作对应专名语境；单机保留编号；集体称谓按中队语境；不改受保护旧译。
クラッカー,破击者,2026-09-09 第二轮用户审定；仅本作对应专名语境；单机保留编号；集体称谓按中队语境；不改受保护旧译。
クレスト,纹章,2026-09-09 第二轮用户审定；仅本作对应专名语境；单机保留编号；集体称谓按中队语境；不改受保护旧译。
エコー艦隊,回声舰队,2026-09-09 第二轮用户审定；仅本作对应专名语境；单机保留编号；集体称谓按中队语境；不改受保护旧译。
ウィスキー艦隊,威士忌舰队,2026-09-09 第二轮用户审定；仅本作对应专名语境；单机保留编号；集体称谓按中队语境；不改受保护旧译。
スィアラーデルタ,西拉·德尔塔,2026-09-09 第二轮用户审定；仅本作对应专名语境；单机保留编号；集体称谓按中队语境；不改受保护旧译。
