baseline_version,jp_term,cn_term,category,count,classification,applicability,source_authority,source_hash,reason,examples,origin
photonflowers-ex-terms-v1.0,ヒマ,,ordinary_katakana_or_sound,5,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio.002:30631052:00104558 |  | 最近授業もヒマだし、<03>退屈しのぎにからかってやろうって魂胆か！？<01> || pf:static:photonflowers11.rio.002:1602830768:00108209 | 武 | <05>【武】「いいよな～、<03>ヒマなときはその『触角』で宇宙と交信すればいいんだから」 || pf:static:photonflowers11.rio:487283344:00109056 | 武 | 【武】「いいよな～、<03>ヒマなときはその『触角』で宇宙と交信すればいいんだから」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,プール,,ordinary_katakana_or_sound,5,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio:487283344:00100722 |  | って、<03>ここ屋内プールだった…<03>…<03>…<03>…<03>。<01> || pf:static:photonflowers11.rio:487283344:00114902 |  | なにか不満があるんだったら、<03>こんな風にプールに来ないよね。<01> || pf:static:photonflowers11.rio:487283344:00116880 |  | 今が楽しいのは本当だし、<03>こうしてプールに遊びに来ることもできるんだ。<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,ムキ,,ordinary_katakana_or_sound,5,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio.002:30631052:00098808 | 尊人 | 【尊人】「ねえねえタケル～。<0A>どうしてそんなにムキになってるの？」<01> || pf:static:photonflowers11.rio.002:30631052:00099086 |  | オレが…<03>…<03>ムキになってる…<03>…<03>？<01> || pf:static:photonflowers11.rio.002:30631052:00103826 |  | オレ達が付き合ってるってことは誰にも言ってないわけだが…<03>…<03>オレが今までスルーしてた状況を独占欲丸出しでムキになるってことは最早「交際宣言」に等しい！<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,リスト,,ordinary_or_context_collision,5,contextual,translate in sentence; not frozen as a chapter term,origin/main glossary checked + JP context,e9ee9faffb2ef37bee94ee3d5c9a185623af6e2a2997a85a474f8a4629c4410c,exact string match is not a context-applicable terminology match,pf:static:photonflowers11.rio.002:1162587616:00039166 |  | ちょっと覗いたぐらいじゃ何書いてるのかわからないぐらい、<03>ズラリとリストが並んでるわけだが。<01> || pf:static:photonflowers11.rio.002:1366349532:00049390 | 武 | 【武】「昔さ、<03>ＴＶで『宇宙書記長ゴルバン』っていう番組があったんだけど…<03>…<03>それに出てくる宇宙テロリスト」<01> || pf:static:photonflowers11.rio.002:1366349532:00058310 | 壬姫 | 【壬姫】「でも、<03>宇宙テロリストはやりすぎだよ？」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,女の子,,ordinary_or_context_collision,5,contextual,translate in sentence; not frozen as a chapter term,origin/main glossary checked + JP context,e9ee9faffb2ef37bee94ee3d5c9a185623af6e2a2997a85a474f8a4629c4410c,exact string match is not a context-applicable terminology match,pf:static:photonflowers11.rio.002:30631052:00098474 |  | そりゃあ…<03>…<03>純夏が女の子同士でどっか行くのに、<03>彼氏面でオレが付いていくのもアレだけどさ！<01> || pf:static:photonflowers11.rio.002:630827184:00056078 |  | 柏木は結構可愛い…<03>…<03>っていうか、<03>カッコイイしな。<0A>後輩の女の子達にもモテてるようだし、<03>男だって普通に惚れるだろ。<01> || pf:static:photonflowers11.rio.002:630827184:00084588 | 柏木 | 【柏木】「ほら、<03>そこは女の子だから…<03>…<03>認めてあげて欲しいんだよね」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,御剣さん,,regex_address_false_positive,5,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"over-inclusive suffix regex captured a phrase, ordinary honorific, or non-address expression",pf:static:photonflowers11.rio.002:1391025672:00132673 | 純夏 | 【純夏】「ねえねえ、<03>御剣さんの家って今の家より大きいの？」<01> || pf:static:photonflowers11.rio.002:1391025672:00134385 | 純夏 | 【純夏】「御剣さんは…<03>…<03>どうしてタケルちゃんのところに来たの？　１度も聞いたことないよね？」<01> || pf:static:photonflowers11.rio.002:1391025672:00137537 | 純夏 | 【純夏】「わたしバカだから、<03>御剣さんが来てようやくそれに気づいて…<03>…<03>でも…<03>…<03>もう大ピンチ」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,母ちゃん,,regex_address_false_positive,5,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"over-inclusive suffix regex captured a phrase, ordinary honorific, or non-address expression",pf:static:photonflowers11.rio.002:969768164:00011727 | 武 | 【武】「その日、<03>親父が出張で、<03>母ちゃん法事なんだよな…<03>…<03>誰も…<03>…<03>いないんだ」<01> || pf:static:photonflowers11.rio.002:1162587616:00045858 |  | おかしいと思ったんだよあ、<03>ホントに毎日が戦場なんじゃ、<03>母ちゃん死んじまうって。<01> || pf:static:photonflowers11.rio.002:1162587616:00067034 |  | 小学校の頃、<03>給食で食べたカレーが美味くて、<03>母ちゃんに作ってくれと頼んだことがあった。<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,神代,,functional_speaker_label,5,contextual,speaker/group/role label,authoritative speaker_jp scan,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,translate label according to row context; not a reusable proper term,,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,オカルトグッズ,,ordinary_katakana_or_sound,4,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio:487590408:00085827 | 武 | 【武】「まさか委員長がオカルトグッズを集める趣味があったとはな～」<01> || pf:static:photonflowers11.rio:487590408:00095053 | 武 | 【武】「まりもちゃんに没収されないように気をつけろよ。<0A>そのオカルトグッズ」<01> || pf:static:photonflowers11.rio:487590408:00105501 | 武 | 【武】「ひいぃぃぃぃぃぃぃッ！　委員長のオカルトグッズがあ、<03>オカルトグッズがぁ！！」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,キューッ,,ordinary_katakana_or_sound,4,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio:487194916:00058856 | 純夏 | 【純夏】「色々は色々だよー。<0A>なんて言うのかな～、<03>こう、<03>身体がキューッとなるようなこととか…<03>…<03>」<01> || pf:static:photonflowers11.rio:487194916:00059344 |  | 身体がキューッ？<01> || pf:static:photonflowers11.rio:487194916:00064292 | 武 | 【武】「じ、<03>じゃあ、<03>身体がキューッってのは？」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,クソ,,ordinary_or_context_collision,4,contextual,translate in sentence; not frozen as a chapter term,origin/main glossary checked + JP context,e9ee9faffb2ef37bee94ee3d5c9a185623af6e2a2997a85a474f8a4629c4410c,exact string match is not a context-applicable terminology match,pf:static:photonflowers11.rio.002:630827184:00040428 |  | オレは融通の利かないクソ真面目人間になんかなりたくないっ！　少しぐらいバカでもシャレの分かる奴の方が楽しいって！<01> || pf:static:photonflowers11.rio.002:1291020652:00044271 | 武 | 【武】「だからいい加減にしろって言ってんだろ！　だけどもクソもねーんだよっ！！」<01> || pf:static:photonflowers11.rio:487890932:00157407 | 銀行強盗２ | 【銀行強盗２】「クソッ！　ついてねえぜ……せっかくいいトコまでいってたのに」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,クラスのみんな,,functional_speaker_label,4,contextual,speaker/group/role label,authoritative speaker_jp scan,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,translate label according to row context; not a reusable proper term,,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,コンビニ,,ordinary_katakana_or_sound,4,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio.002:30631052:00070422 |  | 昨日あれからコンビニ行って「YOKOHAMAスカイウォーカー」仕入れてきたしな、<03>映画情報もバッチリだ。<01> || pf:static:photonflowers11.rio.002:1162587616:00065602 |  | 給食のヤキソバ、<03>屋台のヤキソバ、<03>コンビニのヤキソバ…<03>…<03>そんな感じだ。<01> || pf:static:photonflowers11.rio.002:1366349532:00051342 |  | コンビニ行くと、<03>オレですら生まれてなかった頃のアニメなんかの人形をオマケにしたお菓子売ってるし。<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,シャレ,,ordinary_katakana_or_sound,4,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio.002:630827184:00040428 |  | オレは融通の利かないクソ真面目人間になんかなりたくないっ！　少しぐらいバカでもシャレの分かる奴の方が楽しいって！<01> || pf:static:photonflowers11.rio.002:1366349532:00044692 | 武 | 【武】「いいや、<03>ハムだ。<0A>ハムスターのハムはシャレが効いてはいるが、<03>ちょっと食いたくはないな」<01> || pf:static:photonflowers11.rio.002:1391025672:00074203 |  | 足下ふらついて、シャレなってねーぞっ！！<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,セット,,ordinary_katakana_or_sound,4,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio.002:1291020652:00024745 |  | そんなことだろうと思ったから、<03>目覚ましはしっかりセットしといたし、<03>遅刻は免れたけどさ。<01> || pf:static:photonflowers11.rio.002:1366349532:00069694 |  | お礼とか言って、<03>ハイになるクスリ注射器セットをプレゼントするようなヤツがどこにいる？<01> || pf:static:photonflowers11.rio:487417908:00134219 | 武 | 【武】「猫しっぽを購入したときにセットでついて来たんだ。<0A>まあでも、<03>たまは猫のしっぽって気がするけどな」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,ソースカツ,,ordinary_katakana_or_sound,4,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio.002:1238534540:00057126 | 尊人 | 【尊人】「あ、<03>ソースカツ丼キャベツ抜きだね」<01> || pf:static:photonflowers11.rio.002:1238534540:00060966 |  | ソースカツ丼が実在しようがしまいが、<03>オレには関係ねーじゃねーか！<01> || pf:static:photonflowers11.rio.002:1238534540:00066576 |  | あげく、<03>オレがおかしいとまで言いやがった上に、<03>わざわざソースカツ丼なんぞ作りやがって。<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,テロリスト,,ordinary_katakana_or_sound,4,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio.002:1366349532:00049390 | 武 | 【武】「昔さ、<03>ＴＶで『宇宙書記長ゴルバン』っていう番組があったんだけど…<03>…<03>それに出てくる宇宙テロリスト」<01> || pf:static:photonflowers11.rio.002:1366349532:00058310 | 壬姫 | 【壬姫】「でも、<03>宇宙テロリストはやりすぎだよ？」<01> || pf:static:photonflowers11.rio.002:1366349532:00068464 |  | さっきの宇宙テロリストですら、<03>たまは半永久ループに突入したというのに…<03>…<03>それにさらに猫じゃらしがついてくるとは！！<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,ネタ,,ordinary_katakana_or_sound,4,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio:487194916:00045674 |  | 新学期以来、<03>何かとそのネタをオレに振りかざしやがって…<03>…<03>。<01> || pf:static:photonflowers11.rio.002:1391025672:00086347 | 武 | 【武】「オレと純夏の問題は、<03>そんなに面白いか？　作戦とか言って暇つぶしのネタにするぐらい面白いかよっ！」<01> || pf:static:photonflowers11.rio.002:1391025672:00086811 | 千鶴 | 【千鶴】「ひ、<03>暇つぶしのネタだなんて…<03>…<03>思ってない…<03>…<03>」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,ハイ,,ordinary_katakana_or_sound,4,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio.002:1366349532:00069694 |  | お礼とか言って、<03>ハイになるクスリ注射器セットをプレゼントするようなヤツがどこにいる？<01> || pf:static:photonflowers11.rio:487890932:00198947 | 支店長 | 【支店長】「いや何、私共の善意を逆恨みして、過激な行動を取るあなた方のような方々をあぶり出すための……いわば積極的防衛策です――ハイ」<01> || pf:static:photonflowers11.rio:487890932:00199557 | 支店長 | 【支店長】「大人しく諦めていれば手荒なマネはしなくて済んだのですが。残念です……非常に残念です――ハイ」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,ハム,,ordinary_katakana_or_sound,4,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio.002:1366349532:00044170 | 武 | 【武】「うん…<03>…<03>まだこっちの方が純夏らしいな。<0A>贅沢を言えば、<03>ハムとかそういうヤツの方がもっとらしいんだが」<01> || pf:static:photonflowers11.rio.002:1366349532:00044572 | 壬姫 | 【壬姫】「ハム？　ハムスター？」<01> || pf:static:photonflowers11.rio.002:1366349532:00044692 | 武 | 【武】「いいや、<03>ハムだ。<0A>ハムスターのハムはシャレが効いてはいるが、<03>ちょっと食いたくはないな」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,ビビ,,ordinary_katakana_or_sound,4,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio.002:1391025672:00156873 |  | あの時は純夏と冥夜の気持ちを知って…<03>…<03>正直ビビってたっけ。<01> || pf:static:photonflowers11.rio:487283344:00102462 | 武 | 【武】「────！　す、<03>純夏…<03>…<03>ビビらすなよ」<01> || pf:static:photonflowers11.rio:487716956:00109339 | 慧 | 【慧】「…<03>…<03>ビビるよ？」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,ファイッ,,ordinary_katakana_or_sound,4,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio.002:1602830768:00111525 | 千鶴 | <05>【千鶴】「Ｂ組～～～～ファイッ！」 || pf:static:photonflowers11.rio.002:1602830768:00111695 | 千鶴 | <05>【千鶴】「ファイッ！」 || pf:static:photonflowers11.rio.002:1602830768:00111831 | 千鶴 | <05>【千鶴】「ファイッ！」,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,マシ,,ordinary_katakana_or_sound,4,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio.002:630827184:00039310 | 武 | 【武】「明日のオレは、<03>今日のオレよりちょっとだけマシになるからさー！　委員長に教えを請うのはやめてくれ！」<01> || pf:static:photonflowers11.rio.002:1291020652:00032297 | 千鶴 | 【千鶴】「その通りね…<03>…<03>今日の朝も昨日みたいにやってたら、<03>まだマシだったかもしれない」<01> || pf:static:photonflowers11.rio.002:1495411112:00025641 |  | 純夏もちょっと困惑してるみたいだし…<03>…<03>前よりはマシになったけど、<03>クラスがギクシャクしてるのは変わらない。<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,モヤモヤ,,ordinary_katakana_or_sound,4,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio.002:186673440:00156065 | 冥夜 | 【冥夜】「……実は日本に近づくにつれ、心が乱され、胸の辺りがモヤモヤして睡眠もままならんのだ」<01> || pf:static:photonflowers11.rio.002:186673440:00156435 | 月詠 | 【月詠】「心が乱され……モヤモヤ……ですか？」<01> || pf:static:photonflowers11.rio.002:186673440:00159355 | 月詠 | 【月詠】「冥夜様の心の乱れや胸のモヤモヤの正体を教えて差し上げます」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,ヤキソバパン,,ordinary_katakana_or_sound,4,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio:487716956:00103205 | オヤジ | 【オヤジ】「ほう…<03>…<03>コッペパンか。<0A>長年屋台をやってるけど、<03>ヤキソバパンにしてくれと言われたのは初めてだぜ。<0A>ちょい待ち、<03>すぐに用意してやる」<01> || pf:static:photonflowers11.rio:487716956:00108445 |  | ヤキソバパン、<03>究極、<03>至高の世界。<01> || pf:static:photonflowers11.rio:487716956:00131661 |  | ヤキソバパンしかない。<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,全員,,functional_speaker_label,4,contextual,speaker/group/role label,authoritative speaker_jp scan,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,translate label according to row context; not a reusable proper term,,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,巴,,functional_speaker_label,4,contextual,speaker/group/role label,authoritative speaker_jp scan,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,translate label according to row context; not a reusable proper term,,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,男の声３,,functional_speaker_label,4,contextual,speaker/group/role label,authoritative speaker_jp scan,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,translate label according to row context; not a reusable proper term,,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,皆様,,regex_address_false_positive,4,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"over-inclusive suffix regex captured a phrase, ordinary honorific, or non-address expression",pf:static:photonflowers11.rio.002:1602830768:00128657 | 月詠 | 【月詠】「皆様ご無沙汰致しております。<0A>本日はご卒業おめでとうございます」<01> || pf:static:photonflowers11.rio.002:1602830768:00134847 | 月詠 | 【月詠】「さ、<03>皆様にお配りして差し上げなさい」<01> || pf:static:photonflowers11.rio.002:1602830768:00138213 | 月詠 | 【月詠】「では、<03>皆様…<03>…<03>ごきげんよう…<03>…<03>…<03>…<03>」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,響,,ordinary_or_context_collision,4,contextual,translate in sentence; not frozen as a chapter term,origin/main glossary checked + JP context,e9ee9faffb2ef37bee94ee3d5c9a185623af6e2a2997a85a474f8a4629c4410c,exact string match is not a context-applicable terminology match,pf:static:photonflowers11.rio:487194916:00070838 |  | 「デート」って言葉の響きが――ただの「お出かけ」とは違う、<03>「恋人同士の必修科目」みたいな意味を持っちまっていて、<03>それに改まっておまえを誘う事がどこか気恥ずかしいんだ…<03>…<03>。<01> || pf:static:photonflowers11.rio:487283344:00105394 | 純夏 | 【純夏】「無理すると、<03>体に響くよ」<01> || pf:static:photonflowers11.rio:487890932:00107721 |  | 天然型などはその典型で、本人にそのつもりがなく、周囲もそれと気付かず振り回されてしまうという、恐ろしい隠密性と強力な影響力を持っています。<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,だからタケルちゃん,,regex_address_false_positive,3,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"over-inclusive suffix regex captured a phrase, ordinary honorific, or non-address expression",pf:static:photonflowers11.rio.002:1162587616:00057534 | 純夏 | 【純夏】「う～、<03>だからタケルちゃんには、<03>出来るまで待ってて欲しかったのになー」<01> || pf:static:photonflowers11.rio.002:1162587616:00080300 | 純夏 | 【純夏】「あり得ないっ！　おかしいのはタケルちゃん！　だからタケルちゃんが合わせて」<01> || pf:static:photonflowers11.rio.002:1391025672:00135283 | 純夏 | 【純夏】「だからタケルちゃんは、<03>わたしの前にいるのが当たり前で…<03>…<03>この関係はずっと続くんだって思ってた…<03>…<03>」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,ちょっと白銀君,,regex_address_false_positive,3,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"over-inclusive suffix regex captured a phrase, ordinary honorific, or non-address expression",pf:static:photonflowers11.rio:487194916:00039032 | 千鶴 | 【千鶴】「ちょっと白銀君！　ちゃんとやりなさいよっ！」<01> || pf:static:photonflowers11.rio:487417908:00110093 | 千鶴 | 【千鶴】「ちょっと白銀君！　バカやってないでさっさと出て行きなさいよ！　珠瀬さん、<03>まだ着替え中で…<03>…<03>…<03>…<03>あっ！」<01> || pf:static:photonflowers11.rio:487417908:00151189 | 千鶴 | 【千鶴】「ちょっと白銀君、<03>だから…<03>…<03>」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,アレコレ,,ordinary_katakana_or_sound,3,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio.002:30631052:00074578 |  | 人がせっかくアレコレ考えて準備して誘ってるっていうのに！<01> || pf:static:photonflowers11.rio.002:630827184:00062264 |  | 学校の先生にはアレコレ言われるけどさ、<03>守ってる奴なんていないと思ってたよ。<01> || pf:static:photonflowers11.rio.002:1162587616:00079142 | 武 | 【武】「いいじゃねーか。<0A>人の好みにアレコレ口出すなよ」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,ウソ,,ordinary_katakana_or_sound,3,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio.002:30631052:00071980 | 武 | 【武】「ウソだな。目が泳いでたぞ」<01> || pf:static:photonflowers11.rio:487716956:00132689 | 武 | 【武】「真顔でウソ吐くな…<03>…<03>って、<03>おまえ、<03>ひな鳥にそんなもん食わせるなよ！　ちゃんと食い物調べたのか？」<01> || pf:static:photonflowers11.rio:487716956:00135655 | 武 | 【武】「バカはおまえだ！！　それになんだ、<03>そのウソくせぇ驚きは！」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,オー,,ordinary_katakana_or_sound,3,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio.002:1602830768:00111631 | 全員 | <05>【全員】「オー！」 || pf:static:photonflowers11.rio.002:1602830768:00111767 | 全員 | <05>【全員】「オー！」 || pf:static:photonflowers11.rio.002:1602830768:00111903 | 全員 | <05>【全員】「オー！」,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,カッ,,ordinary_katakana_or_sound,3,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio.002:1322667676:00078460 | 千鶴 | 【千鶴】「ついカッとなって…<03>…<03>言い過ぎた」<01> || pf:static:photonflowers11.rio.002:1322667676:00078660 | 武 | 【武】「カッとなって言い過ぎた？　ってことは、<03>言い方はさておき、<03>同じことを言おうとは思ってたってことか？」<01> || pf:static:photonflowers11.rio.002:1366349532:00041346 |  | あいつの態度についカッとなってしまった。<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,キャベツ,,ordinary_katakana_or_sound,3,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio.002:1238534540:00057126 | 尊人 | 【尊人】「あ、<03>ソースカツ丼キャベツ抜きだね」<01> || pf:static:photonflowers11.rio:487716956:00116241 |  | キャベツの甘みとソースの辛み、<03>豚肉の歯ごたえと麺の食感…<03>…<03>…<03>…<03>どれも絶品。<01> || pf:static:photonflowers11.rio:487716956:00132063 |  | 中のキャベツも１０年早いね。<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,キーホルダー,,ordinary_katakana_or_sound,3,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio.002:1366349532:00061090 |  | この辺りは…<03>…<03>キーホルダーか…<03>…<03>まあこれも無難なところだよな。<01> || pf:static:photonflowers11.rio.002:1366349532:00061524 |  | あ、<03>これ…<03>…<03>このガラス細工のキーホルダー…<03>…<03>トロロだ！<01> || pf:static:photonflowers11.rio.002:1366349532:00063898 |  | 結局同じキーホルダーかよってツッコミは置いといて、<03>だ。<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,クラスメイト,,ordinary_katakana_or_sound,3,contextual,sentence-level context,JP scan reviewed,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,"ordinary loanword, pronoun, slang, sound effect, or fragment; no fixed chapter terminology",pf:static:photonflowers11.rio.002:630827184:00066624 |  | だから、<03>柏木がクラスメイトじゃなくなるなんて事、<03>今初めて実感したな…<03>…<03>。<01> || pf:static:photonflowers11.rio.002:1602830768:00127483 | まりも | 【まりも】「みんなには大切なクラスメイトが残っているわよね？」<01> || pf:static:photonflowers11.rio:487283344:00111120 |  | それとも…<03>…<03>ただのクラスメイトになってたのかな。<01>,mechanical_scan_reviewed
