"call_order","id","rio_file","scene","speaker_jp","jp_text","cn_text"
"2647","pm:static:photonmelodies11.rio.003:1347879948:00121021","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","イルフリーデ","【イルフリーデ】「――でね、<03>乗ってるラファールがまた品がなくて！　薄紫の機体に薔薇のパーソナルマークとか入れちゃって！！」<01>","【伊尔芙莉德】「――而且啊，<03>她那架阵风也俗不可耐！　淡紫色的机体上居然还画着玫瑰个人徽记！！」<01>"
"2648","pm:static:photonmelodies11.rio.003:1347879948:00121527","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","清十郎","【清十郎】「はあ…<03>…<03>」<01>","【清十郎】「哦……<03>……<03>」<01>"
"2649","pm:static:photonmelodies11.rio.003:1347879948:00121597","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","イルフリーデ","【イルフリーデ】「あ、<03>ラファールっていうのは、<03>ＥＦ－２０００のガラを悪くしたような機体ね。
前に話したでしょ？」<01>","【伊尔芙莉德】「啊，<03>所谓阵风，<03>就是一架外形比EF-2000更粗野的机体。
之前不是跟你说过吗？」<01>"
"2650","pm:static:photonmelodies11.rio.003:1347879948:00122039","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ルナテレジア","【ルナテレジア】「――まあイルフィ、<03>それは誤解ですわ！」<01>","【露娜特蕾西娅】「――哎呀，伊尔菲，<03>那是误解哦！」<01>"
"2651","pm:static:photonmelodies11.rio.003:1347879948:00122211","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","イルフリーデ","【イルフリーデ】「――ル、<03>ルナっ…<03>…<03>！？」<01>","【伊尔芙莉德】「――露、<03>露娜…<03>…<03>！？」<01>"
"2652","pm:static:photonmelodies11.rio.003:1347879948:00122309","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","清十郎","【清十郎】「――あっ…<03>…<03>！」<01>","【清十郎】「――啊…<03>…<03>！」<01>"
"2653","pm:static:photonmelodies11.rio.003:1347879948:00122385","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ヘルガローゼ","【ヘルガローゼ】「いいんだ清十郎。
公の席でもない限り私たちに敬礼はいらんぞ」<01>","【赫尔加罗泽】「没关系，清十郎。
只要不是正式场合，就不用向我们敬礼」<01>"
"2654","pm:static:photonmelodies11.rio.003:1347879948:00122697","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","清十郎","【清十郎】「はい、<03>わかりました」<01>","【清十郎】「是，<03>我明白了」<01>"
"2655","pm:static:photonmelodies11.rio.003:1347879948:00122795","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ヘルガローゼ","【ヘルガローゼ】「なにをやっているイルフリーデ、<03>戦術機の話など…<03>…<03>！」<01>","【赫尔加罗泽】「伊尔芙莉德，你在干什么，<03>怎么聊起战术机了……<03>……<03>！」<01>"
"2656","pm:static:photonmelodies11.rio.003:1347879948:00123033","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","イルフリーデ","【イルフリーデ】「…<03>…<03>ごめん…<03>…<03>リヴィエール少尉の話をしてたら、<03>つい…<03>…<03>！」<01>","【伊尔芙莉德】「……<03>……<03>对不起……<03>……<03>一聊到里维埃尔少尉，<03>我就忍不住……<03>……<03>！」<01>"
"2657","pm:static:photonmelodies11.rio.003:1347879948:00123311","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","","む、<03>ドイツ語でなにやらひそひそと…<03>…<03>何か問題が！？<01>","唔，<03>她们在用德语小声嘀咕什么…<03>…<03>有什么问题吗！？<01>"
"2658","pm:static:photonmelodies11.rio.003:1347879948:00123477","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ルナテレジア","【ルナテレジア】「清十郎君、<03>先ほどのラファールの話、<03>真に受けないくださいね」<01>","【露娜特蕾西娅】「清十郎，<03>刚才关于阵风的那些话，<03>可别当真哦」<01>"
"2659","pm:static:photonmelodies11.rio.003:1347879948:00123751","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","清十郎","【清十郎】「はて、<03>それはどういうことですか？」<01>","【清十郎】「哦？<03>这话怎么说？」<01>"
"2660","pm:static:photonmelodies11.rio.003:1347879948:00123883","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ヘルガローゼ","【ヘルガローゼ】「今日の夕食はある意味終わったな…<03>…<03>」<01>","【赫尔加罗泽】「看来今天这顿晚饭，从某种意义上说算是完了……<03>……<03>」<01>"
"2661","pm:static:photonmelodies11.rio.003:1347879948:00124049","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","イルフリーデ","【イルフリーデ】「…<03>…<03>ごめ～ん」<01>","【伊尔芙莉德】「…<03>…<03>对不起嘛～」<01>"
"2662","pm:static:photonmelodies11.rio.003:1347879948:00124139","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ルナテレジア","【ルナテレジア】「ＥＦ－２０００もラファールも元々はＥＣＴＳＦ計画という共同開発から派生していますの」<01>","【露娜特蕾西娅】「EF-2000和阵风原本都源自ECTSF这项联合开发计划」<01>"
"2663","pm:static:photonmelodies11.rio.003:1347879948:00124623","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ルナテレジア","【ルナテレジア】「両機の設計概念は、<03>ＥＣＴＳＦ計画の新世代基礎技術研究や新世代機設計研究のデータがベース。
それに機体の運用や戦術が殆ど同じなのですから、<03>形状が似るのは当然ですわ」<01>","【露娜特蕾西娅】「两款机体的设计理念，<03>都建立在ECTSF计划的新一代基础技术和新一代机体设计研究数据之上。
况且它们的运用方式和战术几乎相同，<03>外形相似也是理所当然的」<01>"
"2664","pm:static:photonmelodies11.rio.003:1347879948:00125411","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","清十郎","【清十郎】「はい、<03>機体開発史で履修しましたので大まかには存じています」<01>","【清十郎】「是，<03>我在机体开发史课上学过，大致有所了解」<01>"
"2665","pm:static:photonmelodies11.rio.003:1347879948:00125767","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ルナテレジア","【ルナテレジア】「しかも実戦配備はラファールの方が早いのに。
イルフィはわかってくれなくて」<01>","【露娜特蕾西娅】「而且明明是阵风更早投入实战。
可伊尔菲就是不肯明白」<01>"
"2666","pm:static:photonmelodies11.rio.003:1347879948:00126173","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","イルフリーデ","【イルフリーデ】「だって途中で計画から抜けたくせに、<03>同じようなものを作るなんてずるいわ。
清十郎も納得いかないわよね～？」<01>","【伊尔芙莉德】「可他们明明中途退出了计划，<03>却又造出差不多的东西，太狡猾了。
清十郎也觉得这说不过去吧～？」<01>"
"2667","pm:static:photonmelodies11.rio.003:1347879948:00126627","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","清十郎","【清十郎】「ですが少尉、<03>ＥＦ－２０００は我が帝国の吹雪にもよく似ていると思うのですが…<03>…<03>フォイルナー少尉はどう思われますか？」<01>","【清十郎】「可是少尉，<03>我觉得EF-2000跟我国的吹雪也很相似……<03>……<03>福伊尔纳少尉怎么看？」<01>"
"2668","pm:static:photonmelodies11.rio.003:1347879948:00127113","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","イルフリーデ","【イルフリーデ】「――清十郎！？　そ、<03>それは…<03>…<03>！！！」<01>","【伊尔芙莉德】「――清十郎！？　这、<03>这话……<03>……<03>！！！」<01>"
"2669","pm:static:photonmelodies11.rio.003:1347879948:00127269","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","","2:ふっふっふっ…<03>…<03>お見通しですよ少尉。<01>","2:呵呵呵……<03>……<03>我早就看穿了，少尉。<01>"
"2670","pm:static:photonmelodies11.rio.003:1347879948:00127389","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","","2:ヴィッツレーベン少尉と戦術機の話はしたくないが、<03>ラファールには文句が言いたい。<01>","2:您既不想跟维茨莱本少尉聊战术机，<03>却又想抱怨阵风。<01>"
"2671","pm:static:photonmelodies11.rio.003:1347879948:00127767","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","","2:――あなたはこの二律背反を俺を売ることで両立させようと試みた。<01>","2:――于是，您试图牺牲我来兼顾这两个相互矛盾的愿望。<01>"
"2672","pm:static:photonmelodies11.rio.003:1347879948:00127993","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","","2:話題の最後を俺に振ることで、<03>ヴィッツレーベン少尉との直接対決を避ける――考えましたね。<01>","2:把最后一个问题抛给我，<03>借此避开与维茨莱本少尉正面交锋――真是好算计。<01>"
"2673","pm:static:photonmelodies11.rio.003:1347879948:00128313","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","","2:だがそれは、<03>俺が戦術機談義を嫌がっているという前提の行動。
…<03>…<03>そこがあなたの盲点ですよ、<03>少尉。<01>","2:但这一招的前提是，<03>我讨厌聊战术机。
……<03>……<03>这正是您的盲点，<03>少尉。<01>"
"2674","pm:static:photonmelodies11.rio.003:1347879948:00128667","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","","2:回答者指名返しの荒技…<03>…<03>どうです、<03>負けん気の強いあなたなら、<03>言い返さずにはいられないのでは？<01>","2:我这招反过来点名提问……<03>……<03>您觉得如何？<03>以您那不服输的性子，<03>肯定忍不住反驳吧？<01>"
"2675","pm:static:photonmelodies11.rio.003:1347879948:00129093","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","","2:――そうなった時、<03>あなたはこの戦術機談義から逃れられなくなる。
さあ、<03>追い撃ちをかけさせていただきますよ…<03>…<03>。<01>","2:――这样一来，<03>您便无法从这场战术机讨论中脱身。
接下来，<03>就让我再补上一击吧……<03>……<03>。<01>"
"2676","pm:static:photonmelodies11.rio.003:1347879948:00129567","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","清十郎","【清十郎】「フォイルナー少尉の仰り様に従うなら、<03>ＥＦ－２０００もラファールもグリペンも、<03>我が帝国の吹雪のモノマネという事になるのでは？」<01>","【清十郎】「照福伊尔纳少尉的说法，<03>EF-2000、阵风和鹰狮，<03>岂不都成了对我国吹雪的模仿？」<01>"
"2677","pm:static:photonmelodies11.rio.003:1347879948:00130029","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ルナテレジア","【ルナテレジア】「フフフ…<03>…<03>清十郎君、<03>なかなかやりますわね…<03>…<03>！」<01>","【露娜特蕾西娅】「呵呵呵……<03>……<03>清十郎，<03>真有一手呢……<03>……<03>！」<01>"
"2678","pm:static:photonmelodies11.rio.003:1347879948:00130241","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","イルフリーデ","【イルフリーデ】「…<03>…<03>ル、<03>ルナ…<03>…<03>清十郎…<03>…<03>？」<01>","【伊尔芙莉德】「…<03>…<03>露、<03>露娜…<03>…<03>清十郎…<03>…<03>？」<01>"
"2679","pm:static:photonmelodies11.rio.003:1347879948:00130387","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","","2:だめなんです、<03>そんな眼で見ても…<03>…<03>。
武士は受けた恩を決して忘れないのです。<01>","2:没用的，<03>就算您用那种眼神看我也没用……<03>……<03>。
武士绝不会忘记受过的恩情。<01>"
"2680","pm:static:photonmelodies11.rio.003:1347879948:00130761","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ルナテレジア","【ルナテレジア】「――清十郎君の例えは極めて暴論に近いものですけれど、<03>イルフィの考えがそのくらい乱暴だということですわね」<01>","【露娜特蕾西娅】「――清十郎这个比喻本身近乎强词夺理，<03>不过也正好说明伊尔菲的想法有多蛮横」<01>"
"2681","pm:static:photonmelodies11.rio.003:1347879948:00131281","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","イルフリーデ","【イルフリーデ】「――えええっ！　い、<03>いや、<03>それはわかってるのよ！　自分でもちょっと言い過ぎたってね…<03>…<03>あはは～。
――助けてヘルガ～～！！」<01>","【伊尔芙莉德】「――咦咦咦！　不、<03>不是，<03>这个我知道啦！　我自己也觉得刚才有点说过头了…<03>…<03>啊哈哈～。
――救救我，赫尔加～～！！」<01>"
"2682","pm:static:photonmelodies11.rio.003:1347879948:00131711","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ヘルガローゼ","【ヘルガローゼ】「さて、<03>食事を取りに行くとするか」<01>","【赫尔加罗泽】「好了，<03>我去拿点吃的吧」<01>"
"2683","pm:static:photonmelodies11.rio.003:1347879948:00131879","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","イルフリーデ","【イルフリーデ】「――あぁん！！　ひとりにしないで～～ッ！？　わ、<03>私も行く～」<01>","【伊尔芙莉德】「――不要嘛！！　别把我一个人丢下～～！？　我、<03>我也去～」<01>"
"2684","pm:static:photonmelodies11.rio.003:1347879948:00132117","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","清十郎","【清十郎】「お待ちくださいフォイルナー少尉！　…<03>…<03>ですよね？」<01>","【清十郎】「请等一下，福伊尔纳少尉！　…<03>…<03>对吧？」<01>"
"2685","pm:static:photonmelodies11.rio.003:1347879948:00132383","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ルナテレジア","【ルナテレジア】「…<03>…<03>…<03>…<03>」<01>","【露娜特蕾西娅】「…<03>…<03>…<03>…<03>」<01>"
"2686","pm:static:photonmelodies11.rio.003:1347879948:00132469","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","イルフリーデ","【イルフリーデ】「そ、<03>そんな～～～～！！」<01>","【伊尔芙莉德】「怎、<03>怎么这样～～～～！！」<01>"
"2687","pm:static:photonmelodies11.rio.003:1347879948:00132589","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","清十郎","【清十郎】「いやしかし、<03>さすがはヴィッツレーベン少尉、<03>戦術機にお詳しいですね」<01>","【清十郎】「不过话说回来，<03>不愧是维茨莱本少尉，<03>您对战术机了解得真多」<01>"
"2688","pm:static:photonmelodies11.rio.003:1347879948:00132853","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ルナテレジア","【ルナテレジア】「いいえ、<03>浅学でお恥ずかしいかぎりですわ」<01>","【露娜特蕾西娅】「哪里，<03>我才疏学浅，实在惭愧」<01>"
"2689","pm:static:photonmelodies11.rio.003:1347879948:00133079","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","清十郎","【清十郎】「ところで――先ほど暴論と仰った件についてですが…<03>…<03>」<01>","【清十郎】「不过――关于您刚才说这是强词夺理的事……<03>……<03>」<01>"
"2690","pm:static:photonmelodies11.rio.003:1347879948:00133303","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","清十郎","【清十郎】「欧州次世代機の開発に――」<01>","【清十郎】「在欧洲下一代机体的开发中――」<01>"
"2691","pm:static:photonmelodies11.rio.003:1347879948:00133545","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ルナテレジア","【ルナテレジア】「水面下で日本の技術提供があった――そう仰りたいのでしょう？」<01>","【露娜特蕾西娅】「您是想说，日本曾在暗中提供技术――对吧？」<01>"
"2692","pm:static:photonmelodies11.rio.003:1347879948:00133839","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","清十郎","【清十郎】「はい。公然の秘密と言われておりますが…<03>…<03>少尉のお考えは如何に？」<01>","【清十郎】「是。虽说这是个公开的秘密……<03>……<03>不知少尉怎么看？」<01>"
"2693","pm:static:photonmelodies11.rio.003:1347879948:00134147","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ルナテレジア","【ルナテレジア】「清十郎君、<03>聞いても後悔なさらない…<03>…<03>？」<01>","【露娜特蕾西娅】「清十郎，<03>你确定听完不会后悔……<03>……<03>？」<01>"
"2694","pm:static:photonmelodies11.rio.003:1347879948:00134355","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","イルフリーデ","【イルフリーデ】「…<03>…<03>あのふたり、<03>ちょっと怖いかも」<01>","【伊尔芙莉德】「……<03>……<03>那两个人<03>好像有点可怕」<01>"
"2695","pm:static:photonmelodies11.rio.003:1347879948:00134511","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ヘルガローゼ","【ヘルガローゼ】「…<03>…<03>よせイルフリーデ、<03>見てはいかん。
巻き込まれても知らんぞ」<01>","【赫尔加罗泽】「……<03>……<03>算了，伊尔芙莉德，<03>别看。
被卷进去我可不管。<01>"
"2696","pm:static:photonmelodies11.rio.003:1347879948:00134793","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ルナテレジア","【ルナテレジア】「私は日本の技術提供を否定しませんが、<03>実際の導入範囲は極めて限定的だったと考えていますわ」<01>","【露娜特蕾西娅】「我并不否认日本提供过技术，<03>但我认为实际采用的范围极其有限」<01>"
"2697","pm:static:photonmelodies11.rio.003:1347879948:00135265","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","清十郎","【清十郎】「――ほほう…<03>…<03>そのこころは？」<01>","【清十郎】「――哦……<03>……<03>此话怎讲？」<01>"
"2698","pm:static:photonmelodies11.rio.003:1347879948:00135403","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ルナテレジア","【ルナテレジア】「Ｆ－４やＦ－５Ｅの改修・発展型の開発で欧州には相当の技術蓄積があったこと――」<01>","【露娜特蕾西娅】「欧洲在开发F-4、F-5E的改进型与发展型过程中，已经积累了相当雄厚的技术――」<01>"
"2699","pm:static:photonmelodies11.rio.003:1347879948:00135925","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ルナテレジア","【ルナテレジア】「ＥＣＴＳＦ計画が停滞した分、<03>長期に渡って基礎技術の研究開発が進められていたことなどがその根拠ですわ」<01>","【露娜特蕾西娅】「另一个依据是，ECTSF计划停滞期间，<03>基础技术的研发仍持续了多年」<01>"
"2700","pm:static:photonmelodies11.rio.003:1347879948:00136323","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","清十郎","【清十郎】「機体形状の類似についてはどう思われますか？」<01>","【清十郎】「机体外形的相似性，您怎么看？」<01>"
"2701","pm:static:photonmelodies11.rio.003:1347879948:00136509","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ルナテレジア","【ルナテレジア】「それは最新の理論、<03>技術トレンド、<03>開発国の戦略地政学的な位置と要求仕様で決まるもの――」<01>","【露娜特蕾西娅】「那取决于最新理论、<03>技术趋势、<03>开发国的战略地缘环境与设计需求――」<01>"
"2702","pm:static:photonmelodies11.rio.003:1347879948:00137017","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ルナテレジア","【ルナテレジア】「――ＢＥＴＡ大戦に於ける日本と欧州のそれらは悉く似ています。
であれば機体形状の類似は自明ですわね」<01>","【露娜特蕾西娅】「――在BETA大战中，日本与欧洲在这些方面无一不相似。
既然如此，机体外形相近也是理所当然的」<01>"
"2703","pm:static:photonmelodies11.rio.003:1347879948:00137459","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","清十郎","【清十郎】「なるほど…<03>…<03>確かに一理ありますね。
戦略地政学が戦術機の形状を決めた、<03>と」<01>","【清十郎】「原来如此……<03>……<03>的确有一番道理。
换言之，是战略地缘环境塑造了战术机的外形，<03>对吧」<01>"
"2704","pm:static:photonmelodies11.rio.003:1347879948:00137837","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","","2:確かにヴィッツレーベン少尉の言うとおりだ。<01>","2:确实如维茨莱本少尉所言。<01>"
"2705","pm:static:photonmelodies11.rio.003:1347879948:00137975","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","","2:戦術機でのハイヴ攻略を念頭に置いている我が帝国、<03>欧州連合やソ連、<03>アジア各国の要求仕様の基本はほぼ同一だ。
細部の差は各国の国情や運用環境によるものと言っていい。<01>","2:我国、<03>欧盟、苏联和亚洲各国，<03>都是以使用战术机攻略巢穴为前提，基本需求几乎相同。
具体差异可以归因于各国国情和运用环境。<01>"
"2706","pm:static:photonmelodies11.rio.003:1347879948:00138759","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","","2:対して米国製戦術機は、<03>設計から運用、<03>戦術まで、<03>基本的な思想がまったく違う。<01>","2:相比之下，美国制造的战术机<03>从设计、<03>运用到战术，<03>根本理念都截然不同。<01>"
"2707","pm:static:photonmelodies11.rio.003:1347879948:00139197","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","","2:前線を抱えるユーラシア各国の戦術機は、<03>兵站が困難な大陸やハイヴ地下茎内での長時間作戦遂行能力が主眼に置かれ、<03>機動近接格闘戦能力が重視されている。<01>","2:身处前线的欧亚各国战术机，<03>主要着眼于在补给困难的大陆战场及巢穴地下茎内长时间作战，<03>因此格外重视机动近战格斗能力。<01>"
"2708","pm:static:photonmelodies11.rio.003:1347879948:00139913","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","","2:方や米国製戦術機は兵站の確保を前提とし、<03>被破壊リスクの少ない機動砲撃戦能力を主眼に開発され、<03>全環境に対応可能なユーティリティを重視している。<01>","2:美国制造的战术机则以补给得到保障为前提，<03>重点发展不易遭到击毁的机动炮击能力，<03>并重视适应所有环境的通用性。<01>"
"2709","pm:static:photonmelodies11.rio.003:1347879948:00140515","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","イルフリーデ","【イルフリーデ】「清十郎…<03>…<03>！　清十郎…<03>…<03>！」<01>","【伊尔芙莉德】「清十郎…<03>…<03>！　清十郎…<03>…<03>！」<01>"
"2710","pm:static:photonmelodies11.rio.003:1347879948:00140655","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","清十郎","【清十郎】「なんですか少尉？」<01>","【清十郎】「怎么了，少尉？」<01>"
"2711","pm:static:photonmelodies11.rio.003:1347879948:00140763","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","イルフリーデ","【イルフリーデ】「そろそろ、<03>止めといた方がいいわよ」<01>","【伊尔芙莉德】「差不多<03>该收手了哦」<01>"
"2712","pm:static:photonmelodies11.rio.003:1347879948:00140939","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","清十郎","【清十郎】「何をですか？」<01>","【清十郎】「停什么？」<01>"
"2713","pm:static:photonmelodies11.rio.003:1347879948:00141051","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","イルフリーデ","【イルフリーデ】「――わっ、<03>私は忠告したからね！？　知らないわよ――朝まで生討論会の可能性だってあるんだからね！？」<01>","【伊尔芙莉德】「――我、<03>我可是提醒过你了哦！？　之后可别怪我――说不定真会变成讨论到天亮的现场辩论会！？」<01>"
"2714","pm:static:photonmelodies11.rio.003:1347879948:00141375","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","イルフリーデ","【イルフリーデ】「――怒って途中退場なんて、<03>ルナは許さないんだから！」<01>","【伊尔芙莉德】「――就算你生气想中途退场，<03>露娜也绝不会放你走！」<01>"
"2715","pm:static:photonmelodies11.rio.003:1347879948:00141615","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","","ヴィッツレーベン少尉は、<03>昨日あんなことがあったにもかかわらず、<03>変わらぬ優しさでおしぼりを用意して下さっている。<01>","维茨莱本少尉<03>昨天明明经历了那种事，<03>今天却依然温柔地为我准备了湿毛巾。<01>"
"2716","pm:static:photonmelodies11.rio.003:1347879948:00142019","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","","この程度のことが恩返しになるかはわかりませんが、<03>ヴィッツレーベン少尉に喜んでいただけるのであれば不詳この清十郎、<03>どこまでもお伴致します！<01>","虽然不知道这点事能否算作报恩，<03>但只要能让维茨莱本少尉高兴，不才清十郎，<03>愿奉陪到底！<01>"
"2717","pm:static:photonmelodies11.rio.003:1347879948:00142497","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","","――そして、<03>私の世話係の責務上、<03>フォイルナー少尉にもお伴していただきますッ！！<01>","――而且，<03>既然肩负着照顾我的职责，<03>也请福伊尔纳少尉陪我到底！！<01>"
"2718","pm:static:photonmelodies11.rio.003:1347879948:00142739","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","清十郎","【清十郎】「ヴィッツレーベン少尉、<03>フォイルナー少尉がなにかお聞きしたいことがあるそうですが――」<01>","【清十郎】「维茨莱本少尉，<03>福伊尔纳少尉似乎也有事想请教您――」<01>"
"2719","pm:static:photonmelodies11.rio.003:1347879948:00143017","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","イルフリーデ","【イルフリーデ】「――清～十～郞～～～っ！！？？」<01>","【伊尔芙莉德】「――清～十～郎～～～！！？？」<01>"
"2720","pm:static:photonmelodies11.rio.003:1347879948:00143129","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ルナテレジア","【ルナテレジア】「――それでね…<03>…<03>清十郎くん聞いてる？」<01>","【露娜特蕾西娅】「――然后呢……<03>……<03>清十郎，你在听吗？」<01>"
"2721","pm:static:photonmelodies11.rio.003:1347879948:00143337","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","清十郎","【清十郎】「は、<03>はい…<03>…<03>聞いています…<03>…<03>聞いていますので…<03>…<03>お続けください…<03>…<03>」<01>","【清十郎】「是、<03>是的……<03>……<03>我在听……<03>……<03>一直在听……<03>……<03>请您继续……<03>……<03>」<01>"
"2722","pm:static:photonmelodies11.rio.003:1347879948:00143589","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","","ぬ…<03>…<03>ぬかった…<03>…<03>っ！！！！<01>","唔……<03>……<03>失算了……<03>……<03>！！！！<01>"
"2723","pm:static:photonmelodies11.rio.003:1347879948:00143699","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","","先日のデータを元に高をくくっていたが…<03>…<03>ヴィッツレーベン少尉の底を完全に見誤っていた…<03>…<03>ッ！！！！<01>","我根据前几天的数据便掉以轻心……<03>……<03>完全低估了维茨莱本少尉的底力……<03>……<03>！！！！<01>"
"2724","pm:static:photonmelodies11.rio.003:1347879948:00144243","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","","だが恩には報いなければならん――今の俺にできるのは、<03>身をすくめて耐え忍ぶことのみ…<03>…<03>ッ！！<01>","可有恩必报――如今我唯一能做的，<03>就是缩成一团，默默忍耐……<03>……<03>！！<01>"
"2725","pm:static:photonmelodies11.rio.003:1347879948:00144607","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","イルフリーデ","【イルフリーデ】「ル…<03>…<03>ルナぁ、<03>そろそろ…<03>…<03>終わりにしようよ…<03>…<03>？」<01>","【伊尔芙莉德】「露…<03>…<03>露娜，<03>差不多…<03>…<03>该结束了吧…<03>…<03>？」<01>"
"2726","pm:static:photonmelodies11.rio.003:1347879948:00144935","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","ルナテレジア","【ルナテレジア】「まさか、<03>まだ始まったばかりですわ」<01>","【露娜特蕾西娅】「怎么会，<03>这才刚开始呢」<01>"
"2727","pm:static:photonmelodies11.rio.003:1347879948:00145117","photonmelodies11.rio.003","crsa:photonmelodies11.rio.003@1347879948","清十郎","【清十郎】「――！！！！」<01>","【清十郎】「――！！！！」<01>"
