"jp","cn","occurrences","basis"
"第六世代３００番","第六世代300号","1","保留世代与编号信息。"
"アナウンス","广播","1","系统广播说话人标签统一。"
"全員","众人","25","群体应答标签统一。 | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"武士は食わねど高楊枝","武士哪怕饿着肚子,也要叼着牙签装作吃饱","1","译出谚语“贫困也要维持体面”的实际含义；只译“没饭吃也叼牙签”会令中文玩家不明所以。"
"大いなる兵","巨兵","4","后文明确指战术机，固定为巨兵。"
"益荒男","勇士","4","后文明确指西尔维奥，固定为勇士。"
"こむら返り","小腿抽筋","1","采用日常中文“小腿抽筋”，不使用过度医学化、且带日式句尾残留的“腓肠肌痉挛也”。"
"ＨＳＳＴ","HSST","2","原文缩写直接保留，不擅自展开。"
"ウルフブレイズ","焰狼","2","英语风格片假名呼号按意象意译，与漢字部队名焰狼统一识别。"
"ゴーストハウンド","幽灵猎犬","1","特殊任务部队名采用有识别度的意译。"
"戦乙女中隊","女武神中队","1","战乙女按系列语境固定为女武神；与别称 Valkyries 区分记录。"
"９０部隊","90部队","5","保留编号，是后藤机关前身的固定称呼。"
"第１中隊 / 第２中隊","第一中队 / 第二中队","21","按中文军事编制固定为“中队”，数字统一使用中文序数词。"
"ツェルベルス大隊全員","刻耳柏洛斯大队全员","3","与ツェルベルス固定部队名统一。"
"ツェルベルス大隊隊員","刻耳柏洛斯大队队员","2","与ツェルベルス固定部队名统一。"
"ツェルベルス部隊全員","刻耳柏洛斯部队全员","2","与ツェルベルス固定部队名统一。"
"焔狼大隊全員","焰狼大队全员","2","焔狼统一为焰狼。"
"第２中隊全員","第二中队全员","5","数字与部队层级统一。"
"第３小隊全員","第三小队全员","1","数字与部队层级统一。"
"ツェルベルス大隊","刻耳柏洛斯大队","23","保留神话固有名并按编制层级译为大队。"
"ロート中隊","罗特中队","5","中队固有名采用稳定音译，保留与深红意象的剧情联系。"
"焰狼大隊","焰狼大队","5","保留焰狼意象并按军事层级译为大队。"
"ツェルベルス","刻耳柏洛斯","82","与大队全称同源，统一采用Cerberus的通行中文音译。"
"ツェルベルス / ツェルベルス大隊","刻耳柏洛斯 / 刻耳柏洛斯大队","82","希腊神话Cerberus的通行中文音译为刻耳柏洛斯；剧情明确利用三头神兽与三个中队的命名典故，保留音译比泛化意译更稳定。"
"ツェルベルス中隊","刻耳柏洛斯中队","1","属刻耳柏洛斯编制下的中队层级，与大队不可混用。"
"デルタチーム","Delta Team","5","保留英文式小队名。"
"スキンシップ","肢体接触","5","按中文自然说法译为“肢体接触”，不用含混外来语或机械音译。"
"二回生","二年级","5","按中文学校语境译为“二年级”，避免日式残留“二回生/二年生”。"
"破廉恥","有伤风化","1","按清十郎夸张的武家道德语气译为“有伤风化”，比机械“破廉耻”自然。"
"濃縮還元合成バナナ味","浓缩还原合成香蕉味","2","原文故意堆叠加工食品术语制造荒诞感，直译能够保留笑点和重复识别度。"
"ハギス","哈吉斯","6","采用该苏格兰菜名的通行音译“哈吉斯”，并保留菜名识别度。"
"張圧出力","张力输出","1","按改装后的张力性能语境，固定为“张力输出”。"
"電磁伸縮炭素帯","电磁伸缩碳带","1","保留材料属性与电磁伸缩机制，固定为“电磁伸缩碳带”。"
"ドーバー基地群","多佛基地群","8","Continue existing Dover terminology."
"ファルケンマイヤー少尉","法尔肯迈尔少尉","44","Existing translation.; Helga's surname title."
"フィッシュ＆チップス","炸鱼薯条","1","Natural Chinese rendering."
"フォイルナー少尉","福伊尔纳少尉","113","Existing translation.; Ilfriede's surname title."
"ベルナデッド","贝尔纳黛特","1","Riviere given name, flagged for later cross-check."
"ヴィッツレーベン少尉","维茨莱本少尉","51","Luna's surname title."
"佐渡島ハイヴ","佐渡岛巢穴","1","Use 巢穴 for Hive in narration."
"基地群総司令","基地群总司令","4","Fits context."
"横浜ハイヴ","横滨巢穴","1","Existing Muv-Luv setting term."
"甲21号目標","甲21号目标","1","Sado Island Hive target designation."
"砲撃支援","炮击支援","2","TSF tactical role."
"統合火力演習","联合火力演习","8","Continues batch_040."
"ドーバー城要塞基地","多佛城要塞基地","2","Dover Castle 含义明确，地名意译/通译。"
"士官候補生","士官候补生","12","军校/军官训练身份。"
"大西洋方面第１軍","大西洋方面第1军","3","部队番号。"
"帝国斯衛軍","帝国斯卫军","11","军队名，简体化并保持系列一致。"
"戦術機甲大隊","战术机甲大队","4","部队类型。"
"真壁家","真壁家","13","家名保留。"
"第４４戦術機甲大隊","第44战术机甲大队","4","部队番号。"
"西ドイツ陸軍","西德陆军","1","国家+军种。"
"アリ / 蟻","可以……可“蚁”？","1","日文利用アリ（可以）与蟻（蚂蚁）同音转折，中文无法原样复现；需在可懂性与突兀喜剧之间取舍。"
"イルフリーデ","伊尔芙莉德","661","人名，优先音译。; Used in speaker brackets.; Extracted from current cn_text speaker brackets."
"ファーレンホルスト中尉","法伦霍斯特中尉","64","人名加军衔，需统一军衔。; Extracted from current cn_text speaker brackets."
"ブラウアー少尉","布劳尔少尉","145","人名加军衔，需统一军衔。; Extracted from current cn_text speaker brackets."
"ヘルガローゼ","赫尔加罗泽","217","说话人名/称谓，需要固定。; Used in speaker brackets.; Extracted from current cn_text speaker brackets."
"ベスターナッハ中尉","贝斯特纳赫中尉","60","人名加军衔，需统一军衔。; Extracted from current cn_text speaker brackets."
"令嬢","贵族小姐","34","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets."
"女性の声","女声","12","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets."
"女性の声１","女声1","1","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets."
"女性の声２","女声2","1","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets."
"女性１","女性1","1","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets."
"女性２","女性2","1","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets."
"清十郎","清十郎","1206","日式人名，汉字可直接保留。; Extracted from current cn_text speaker brackets."
"男の声","男声","1","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets."
"男性士官の声","男军官的声音","1","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets."
"若い士官","年轻士官","2","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets."
"部隊員２","队员2","2","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets."
"部隊員３","队员3","2","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets."
"トリースタ・シェスチナ","特丽斯塔·谢斯蒂娜","1","按日语读音统一音译为“特丽斯塔·谢斯蒂娜”。"
"京塚臨時曹長","京塚代理军士长","1","按中文军衔体系统一曹长为军士长；保留原文“临时”身份信息。"
"絶対に終わることのない物語","《永不终结的故事》","1","对应 The Neverending Story，正文固定译为《永不终结的故事》。"
"蒼天の白き神の座 GREAT PEAK","GREAT PEAK","2","用户审定：保留原文英文标题 GREAT PEAK。"
"ユーロファイタス社","尤罗法伊塔斯公司","1","本篇正文已统一使用该音译，但尚未获得系列官方拉丁拼写的本地证据。"
"切れてます／キレてます","线条出来了／练出线条了","7","用户结合健身场景审定：指肌肉线条清晰，按语境译为“线条出来了／练出线条了”。"
"ハッスルハッスル","HUSTLE！HUSTLE～！","1","用户审定：保留口号感，固定为“HUSTLE！HUSTLE～！”。"
"百億の昼は貞淑／千億の夜は娼婦","百亿个白昼里贞淑／千亿个黑夜里放荡","1","用户审定：保留对白昼与黑夜的改写笑点，固定为“百亿个白昼里贞淑／千亿个黑夜里放荡”。"
"即惨状","即刻惨烈登场","1","用户审定：用“即刻惨烈登场”呈现对“即参上”的恶搞效果。"
"夜空に星が瞬く陰で","夜空繁星闪烁，暗处回荡着两人的笑声","1","保留原名台词的诗意开头。"
"るんるん","乐悠悠","2","用户审定：按愉快语气及与“みちるん”的押韵关系，固定译为“乐悠悠”。"
"エドワーズ","爱德华兹","1","按原文简称统一音译为“爱德华兹”，不擅自展开未出现的全称。"
"統合生理学","综合生理学","1","按中文学科表达固定为“综合生理学”。"
"最低３ミリ幅でクロスに細かくカット","至少纵横交错地剪成约三毫米宽的碎片","1","规格语义存在歧义，保留问题项供母语复核。"
"みちるん","小美知留","1","用户审定：保留亲昵称呼及与“るんるん”的押韵，固定译为“小美知留”。"
"五次元効果爆弾","五维效应炸弹","1","按第五计划相关技术语境固定为“五维效应炸弹”。"
"美冴さん","美冴姐","15","按风间、宗像与美冴的亲近关系处理，不机械保留“さん”，固定为“美冴姐”。"
"コルモスキン","科尔莫斯金","1","与 GIS 并列出现的专名，按日语读音统一音译为“科尔莫斯金”。"
"くぁｗせｄｒｆｔｇｙふじこｌｐ","くぁｗせｄｒｆｔｇｙふじこｌｐ（日语键盘乱按）","1","用户审定：保留原键盘乱按文本，并加括号说明“日语键盘乱按”。"
"生体遠隔認識能力","生物远程感知能力","1","按能力性质固定为“生物远程感知能力”。"
"地下停滞庫","地下休眠库","1","结合 BETA 样本休眠功能，固定为“地下休眠库”。"
"グーフォ","古福","2","按日语发音统一音译为“古福”。"
"フェニーチェ","菲尼切","6","按日语发音统一音译为“菲尼切”。"
