jp,cn,status,chapter,source,source_row,source_status,occurrences,basis
茜,茜,confirmed,时空的欠片,pm-shard-baseline,19,confirmed,452,说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：345/345；类别：speaker/name-or-title / 说话人标签
ピアティフ,皮亚蒂芙,confirmed,时空的欠片,pm-shard-baseline,20,confirmed,363,本篇审定（覆盖主库旧译） | 说话人名/称谓，需要固定。; 皮亚蒂芙.; Extracted from current cn_text speaker brackets.; Teacher/assistant name. | 公共总表；须以本篇最终正文核对适用语境 | 第二遍行级证据（86条） | 最终全文说话人标签：269/269；类别：speaker/name-or-title / 公共总表术语 / 已审定术语 / 第二遍术语证据 / 说话人标签
風間,风间,confirmed,时空的欠片,pm-shard-baseline,21,confirmed,339,说话人名/称谓，需要固定。 | 最终全文说话人标签：303/303；类别：speaker/name-or-title / 说话人标签
遙,遥,confirmed,时空的欠片,pm-shard-baseline,22,confirmed,330,说话人名/称谓，需要固定。 | 最终全文说话人标签：294/294；类别：speaker/name-or-title / 说话人标签
真耶,真耶,confirmed,时空的欠片,pm-shard-baseline,23,confirmed,303,说话人名/称谓，需要固定。 | 最终全文说话人标签：241/241；类别：speaker/name-or-title / 说话人标签
タケルちゃん,小武,confirmed,时空的欠片,pm-shard-baseline,24,confirmed,275,用户审定（人物称谓）；类别：人物称谓
ザウバー,扎乌伯,confirmed,时空的欠片,pm-shard-baseline,25,confirmed,261,本篇审定 | 说话人名/称谓，需要固定。 | 最终全文说话人标签：232/232；类别：speaker/name-or-title / 已审定术语 / 说话人标签
イルマ,伊尔玛,confirmed,时空的欠片,pm-shard-baseline,26,confirmed,227,本篇审定 | 说话人名/称谓，需要固定。; Teslef teacher's first name/speaker name.; Extracted from current cn_text speaker brackets.; Teacher name used in batch042-043. | 最终全文说话人标签：184/184；类别：speaker/name-or-title / 已审定术语 / 说话人标签
御剣,御剑,confirmed,时空的欠片,pm-shard-baseline,27,confirmed,225,第二遍行级证据（1条）；类别：第二遍术语证据
築地,筑地,confirmed,时空的欠片,pm-shard-baseline,28,confirmed,216,说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：169/169；类别：speaker/name-or-title / 说话人标签
涼宮,凉宫,confirmed,时空的欠片,pm-shard-baseline,29,confirmed,175,说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；类别：speaker/name-or-title / 说话人标签
夕呼先生,夕呼老师,confirmed,时空的欠片,pm-shard-baseline,30,confirmed,174,第二遍行级证据（2条）；类别：第二遍术语证据
女性,女性,confirmed,时空的欠片,pm-shard-baseline,31,confirmed,148,说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：96/96；类别：speaker/name-or-title / 说话人标签
みちる,美知留,confirmed,时空的欠片,pm-shard-baseline,32,confirmed,128,说话人名/称谓，需要固定。 | 最终全文说话人标签：123/123；类别：speaker/name-or-title / 说话人标签
速瀬,速濑,confirmed,时空的欠片,pm-shard-baseline,33,confirmed,120,说话人名/称谓，需要固定。 | 最终全文说话人标签：29/29；类别：speaker/name-or-title / 说话人标签
巴,巴,confirmed,时空的欠片,pm-shard-baseline,34,confirmed,105,说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：47/47；类别：speaker/name-or-title / 说话人标签
神代,神代,confirmed,时空的欠片,pm-shard-baseline,35,confirmed,104,说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：48/48；类别：speaker/name-or-title / 说话人标签
戎,戎,confirmed,时空的欠片,pm-shard-baseline,36,confirmed,103,说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：49/49；类别：speaker/name-or-title / 说话人标签
たけるさん,小武哥,confirmed,时空的欠片,pm-shard-baseline,37,confirmed,102,用户审定（人物称谓）；类别：人物称谓
ミュン,缪恩,confirmed,时空的欠片,pm-shard-baseline,38,confirmed,101,本篇审定 | 说话人名/称谓，需要固定。 | 最终全文说话人标签：68/68；类别：speaker/name-or-title / 已审定术语 / 说话人标签
千鶴子,千鹤子,confirmed,时空的欠片,pm-shard-baseline,39,confirmed,99,说话人名/称谓，需要固定。 | 最终全文说话人标签：83/83；类别：speaker/name-or-title / 说话人标签
球技大会,球类大赛,confirmed,时空的欠片,pm-shard-baseline,40,confirmed,87,本篇审定 | 第二遍行级证据（44条）；类别：已审定术语 / 第二遍术语证据
ラダビノッド,拉达比诺德,confirmed,时空的欠片,pm-shard-baseline,41,confirmed,59,说话人名/称谓，需要固定。 | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：29/29；类别：speaker/name-or-title / 公共总表术语 / 说话人标签
ウォーケン先生,沃肯老师,confirmed,时空的欠片,pm-shard-baseline,42,confirmed,56,第二遍行级证据（1条）；类别：第二遍术语证据
ＣＰ,CP,confirmed,时空的欠片,pm-shard-baseline,43,confirmed,55,Command-post acronym in rules/interface.；类别：game_term
全員,全员,confirmed,时空的欠片,pm-shard-baseline,44,confirmed,54,说话人名/称谓，需要固定。 | 最终全文说话人标签：3/3；类别：speaker/name-or-title / 说话人标签
バルジャーノン,巴尔加农,confirmed,时空的欠片,pm-shard-baseline,45,confirmed,52,本篇审定 | カタカナ/英文式词，按规则优先判断是否适合意译。 | 第二遍行级证据（7条）；类别：katakana-or-latin / 已审定术语 / 第二遍术语证据
神代・巴,神代、巴,confirmed,时空的欠片,pm-shard-baseline,46,confirmed,51,说话人名/称谓，需要固定。 | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：3/3；类别：speaker/name-or-title / 公共总表术语 / 说话人标签
巴・戎,巴、戎,confirmed,时空的欠片,pm-shard-baseline,47,confirmed,49,说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：1/1；类别：speaker/name-or-title / 说话人标签
老人,老人,confirmed,时空的欠片,pm-shard-baseline,48,confirmed,49,说话人名/称谓，需要固定。 | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：46/46；类别：speaker/name-or-title / 公共总表术语 / 说话人标签
神代・巴・戎,神代、巴、戎,confirmed,时空的欠片,pm-shard-baseline,49,confirmed,48,说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：48/48；类别：speaker/name-or-title / 公共总表术语 / 说话人标签
夕呼・武,夕呼、武,confirmed,时空的欠片,pm-shard-baseline,50,confirmed,47,说话人名/称谓，需要固定。 | 最终全文说话人标签：47/47；类别：speaker/name-or-title / 说话人标签
伊隅,伊隅,confirmed,时空的欠片,pm-shard-baseline,51,confirmed,39,说话人名/称谓，需要固定。 | 最终全文说话人标签：21/21；类别：speaker/name-or-title / 说话人标签
シェリル,谢丽尔,confirmed,时空的欠片,pm-shard-baseline,52,confirmed,38,本篇审定 | 说话人名/称谓，需要固定。 | 最终全文说话人标签：37/37；类别：speaker/name-or-title / 已审定术语 / 说话人标签
Ｄ組,D 班,confirmed,时空的欠片,pm-shard-baseline,53,confirmed,30,本篇审定；类别：已审定术语
小隊,小队,confirmed,时空的欠片,pm-shard-baseline,54,confirmed,27,公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语
白陵,白陵,confirmed,时空的欠片,pm-shard-baseline,55,confirmed,27,主库术语表 | 公共总表；须以本篇最终正文核对适用语境 | 第二遍行级证据（1条）；类别：公共总表术语 / 已审定术语 / 第二遍术语证据
女の子,女孩,confirmed,时空的欠片,pm-shard-baseline,56,confirmed,26,说话人名/称谓，需要固定。 | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：2/2；类别：speaker/name-or-title / 公共总表术语 / 说话人标签
神宮司,神宫司,confirmed,时空的欠片,pm-shard-baseline,57,confirmed,26,公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语
レストラン,餐厅,confirmed,时空的欠片,pm-shard-baseline,58,confirmed,23,第二遍行级证据（1条）；类别：第二遍术语证据
パパ,爸爸,confirmed,时空的欠片,pm-shard-baseline,59,confirmed,21,说话人名/称谓，需要固定。 | 最终全文说话人标签：2/2；类别：speaker/name-or-title / 说话人标签
Ａ小隊,A小队,confirmed,时空的欠片,pm-shard-baseline,60,confirmed,21,说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：3/3；类别：speaker/name-or-title / 说话人标签
女性１,女性1,confirmed,时空的欠片,pm-shard-baseline,61,confirmed,20,最终全文说话人标签：20/20；类别：说话人标签
悠陽・冥夜,悠阳、冥夜,confirmed,时空的欠片,pm-shard-baseline,62,confirmed,20,说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：19/19；类别：speaker/name-or-title / 说话人标签
イルマ・ピアティフ,伊尔玛、皮亚蒂芙,confirmed,时空的欠片,pm-shard-baseline,63,confirmed,19,说话人名/称谓，需要固定。 | 最终全文说话人标签：16/16；类别：speaker/name-or-title / 说话人标签
サバゲー,生存战,confirmed,时空的欠片,pm-shard-baseline,64,confirmed,19,本篇审定 | 第二遍行级证据（1条）；类别：已审定术语 / 第二遍术语证据
熊,熊,confirmed,时空的欠片,pm-shard-baseline,65,confirmed,19,说话人名/称谓，需要固定。 | 最终全文说话人标签：11/11；类别：speaker/name-or-title / 说话人标签
ゲームガイ,Game Guy,confirmed,时空的欠片,pm-shard-baseline,66,confirmed,17,本篇审定；类别：已审定术语
シミュレーター,模拟器,confirmed,时空的欠片,pm-shard-baseline,67,confirmed,17,本篇审定 | 第二遍行级证据（1条）；类别：已审定术语 / 第二遍术语证据
武・純夏,武、纯夏,confirmed,时空的欠片,pm-shard-baseline,68,confirmed,17,说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：15/15；类别：speaker/name-or-title / 说话人标签
カジノ,赌场,confirmed,时空的欠片,pm-shard-baseline,69,confirmed,16,本篇审定 | 第二遍行级证据（7条）；类别：已审定术语 / 第二遍术语证据
冥夜・悠陽,冥夜、悠阳,confirmed,时空的欠片,pm-shard-baseline,70,confirmed,15,说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：8/8；类别：speaker/name-or-title / 说话人标签
女性２,女性2,confirmed,时空的欠片,pm-shard-baseline,71,confirmed,15,最终全文说话人标签：15/15；类别：说话人标签
榊さん,榊同学,confirmed,时空的欠片,pm-shard-baseline,72,confirmed,15,本篇权威称谓证据；类别：人物称谓
男の子,男孩,confirmed,时空的欠片,pm-shard-baseline,73,confirmed,15,说话人名/称谓，需要固定。 | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：6/6；类别：speaker/name-or-title / 公共总表术语 / 说话人标签
ニュートリノ,中微子,confirmed,时空的欠片,pm-shard-baseline,74,confirmed,14,本篇审定 | 第二遍行级证据（1条）；类别：已审定术语 / 第二遍术语证据
白銀武,白银武,confirmed,时空的欠片,pm-shard-baseline,75,confirmed,14,主库术语表 | 公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语 / 已审定术语
北極星島,北极星岛,confirmed,时空的欠片,pm-shard-baseline,76,confirmed,13,本篇审定 | 第二遍行级证据（2条）；类别：已审定术语 / 第二遍术语证据
水上バイク,水上摩托艇,confirmed,时空的欠片,pm-shard-baseline,77,confirmed,13,本篇审定 | 第二遍行级证据（5条）；类别：已审定术语 / 第二遍术语证据
アルタイル・ビーチ,牛郎星海滩,confirmed,时空的欠片,pm-shard-baseline,78,confirmed,12,本篇审定 | 第二遍行级证据（4条）；类别：已审定术语 / 第二遍术语证据
データベース,数据库,confirmed,时空的欠片,pm-shard-baseline,79,confirmed,12,公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语
ヤキソバ,炒面,confirmed,时空的欠片,pm-shard-baseline,80,confirmed,12,本篇审定 | 第二遍行级证据（3条）；类别：已审定术语 / 第二遍术语证据
大晦日,除夕,confirmed,时空的欠片,pm-shard-baseline,81,confirmed,12,第二遍行级证据（2条）；类别：第二遍术语证据
恋愛原子核,恋爱原子核,confirmed,时空的欠片,pm-shard-baseline,82,confirmed,12,本篇审定 | 第二遍行级证据（2条）；类别：已审定术语 / 第二遍术语证据
毛布,毛毯,confirmed,时空的欠片,pm-shard-baseline,83,confirmed,12,第二遍行级证据（1条）；类别：第二遍术语证据
福袋,福袋,confirmed,时空的欠片,pm-shard-baseline,84,confirmed,12,第二遍行级证据（1条）；类别：第二遍术语证据
麓,山脚,confirmed,时空的欠片,pm-shard-baseline,85,confirmed,12,第二遍行级证据（1条）；类别：第二遍术语证据
ジャミング,干扰,confirmed,时空的欠片,pm-shard-baseline,86,confirmed,11,第二遍行级证据（1条）；类别：第二遍术语证据
プレアディス,普勒阿得斯,confirmed,时空的欠片,pm-shard-baseline,87,confirmed,11,本篇审定 | 第二遍行级证据（3条）；类别：已审定术语 / 第二遍术语证据
博士,博士,confirmed,时空的欠片,pm-shard-baseline,88,confirmed,11,最终全文说话人标签：11/11；类别：说话人标签
壬姫・美琴,壬姬、美琴,confirmed,时空的欠片,pm-shard-baseline,89,confirmed,11,说话人名/称谓，需要固定。 | 最终全文说话人标签：8/8；类别：speaker/name-or-title / 说话人标签
武・霞,武、霞,confirmed,时空的欠片,pm-shard-baseline,90,confirmed,10,说话人名/称谓，需要固定。 | 最终全文说话人标签：10/10；类别：speaker/name-or-title / 说话人标签
水着撮影会,泳装摄影会,confirmed,时空的欠片,pm-shard-baseline,91,confirmed,10,第二遍行级证据（1条）；类别：第二遍术语证据
涼宮茜,凉宫茜,confirmed,时空的欠片,pm-shard-baseline,92,confirmed,10,主库术语表 | 公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语 / 已审定术语
ヒント,线索,confirmed,时空的欠片,pm-shard-baseline,93,confirmed,9,第二遍行级证据（1条）；类别：第二遍术语证据
ベガ・ビーチ,织女星海滩,confirmed,时空的欠片,pm-shard-baseline,94,confirmed,9,第二遍行级证据（1条）；类别：第二遍术语证据
マイルドクルー,迈尔德·克鲁,confirmed,时空的欠片,pm-shard-baseline,95,confirmed,9,本篇审定 | 第二遍行级证据（1条）；类别：已审定术语 / 第二遍术语证据
基地,基地,confirmed,时空的欠片,pm-shard-baseline,96,confirmed,9,公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语
女たち,众女,confirmed,时空的欠片,pm-shard-baseline,97,confirmed,9,说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；类别：speaker/name-or-title / 说话人标签
隊長,队长,confirmed,时空的欠片,pm-shard-baseline,98,confirmed,9,公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语
コスト,成本,confirmed,时空的欠片,pm-shard-baseline,99,confirmed,8,公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语
ママ,妈妈,confirmed,时空的欠片,pm-shard-baseline,100,confirmed,8,说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；类别：speaker/name-or-title / 说话人标签
レバッ,肝脏,confirmed,时空的欠片,pm-shard-baseline,101,confirmed,8,第二遍行级证据（3条）；类别：第二遍术语证据
ＵＭＡ,UMA,confirmed,时空的欠片,pm-shard-baseline,102,confirmed,8,本篇审定 | 第二遍行级证据（7条）；类别：已审定术语 / 第二遍术语证据
カイゼル,凯泽尔,confirmed,时空的欠片,pm-shard-baseline,103,confirmed,7,第二遍行级证据（1条）；类别：第二遍术语证据
ブーツ,雪靴,confirmed,时空的欠片,pm-shard-baseline,104,confirmed,7,第二遍行级证据（1条）；类别：第二遍术语证据
女官１,女官1,confirmed,时空的欠片,pm-shard-baseline,105,confirmed,7,说话人名/称谓，需要固定。 | 最终全文说话人标签：7/7；类别：speaker/name-or-title / 说话人标签
拠点,据点,confirmed,时空的欠片,pm-shard-baseline,106,confirmed,7,第二遍行级证据（1条）；类别：第二遍术语证据
武・壬姫,武、壬姬,confirmed,时空的欠片,pm-shard-baseline,107,confirmed,7,说话人名/称谓，需要固定。 | 最终全文说话人标签：7/7；类别：speaker/name-or-title / 说话人标签
武・水月,武、水月,confirmed,时空的欠片,pm-shard-baseline,108,confirmed,7,说话人名/称谓，需要固定。 | 最终全文说话人标签：6/6；类别：speaker/name-or-title / 说话人标签
臨界,临界,confirmed,时空的欠片,pm-shard-baseline,109,confirmed,7,本篇审定 | 第二遍行级证据（3条）；类别：已审定术语 / 第二遍术语证据
観客,观众,confirmed,时空的欠片,pm-shard-baseline,110,confirmed,7,说话人名/称谓，需要固定。 | 最终全文说话人标签：7/7；类别：speaker/name-or-title / 说话人标签
エロ大臣,色鬼大臣,confirmed,时空的欠片,pm-shard-baseline,111,confirmed,6,本篇审定 | 第二遍行级证据（2条）；类别：已审定术语 / 第二遍术语证据
メートル,米,confirmed,时空的欠片,pm-shard-baseline,112,confirmed,6,公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语
武君人形,小武人偶,confirmed,时空的欠片,pm-shard-baseline,113,confirmed,6,说话人名/称谓，需要固定。 | 最终全文说话人标签：5/5；类别：speaker/name-or-title / 说话人标签
純夏・霞,纯夏、霞,confirmed,时空的欠片,pm-shard-baseline,114,confirmed,6,说话人名/称谓，需要固定。 | 最终全文说话人标签：4/4；类别：speaker/name-or-title / 说话人标签
長官,长官,confirmed,时空的欠片,pm-shard-baseline,115,confirmed,6,最终全文说话人标签：6/6；类别：说话人标签
にゃーむ子,喵姆子,confirmed,时空的欠片,pm-shard-baseline,116,confirmed,5,本篇审定（戏仿专名） | 第二遍行级证据（2条）；类别：已审定术语 / 第二遍术语证据
ウォータースライダー,水上滑梯,confirmed,时空的欠片,pm-shard-baseline,117,confirmed,5,本篇审定 | 第二遍行级证据（1条）；类别：已审定术语 / 第二遍术语证据
オペレーター,操作员,confirmed,时空的欠片,pm-shard-baseline,118,confirmed,5,公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：5/5；类别：公共总表术语 / 说话人标签
ゴンドラ,吊厢,confirmed,时空的欠片,pm-shard-baseline,119,confirmed,5,本篇审定 | 第二遍行级证据（5条）；类别：已审定术语 / 第二遍术语证据
マイルドクルー横幅,迈尔德·克鲁横幅,confirmed,时空的欠片,pm-shard-baseline,120,confirmed,5,本篇审定 | 第二遍行级证据（1条）；类别：已审定术语 / 第二遍术语证据
先生ズ,老师们,confirmed,时空的欠片,pm-shard-baseline,121,confirmed,5,说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；类别：speaker/name-or-title / 说话人标签
壬姫・武,壬姬、武,confirmed,时空的欠片,pm-shard-baseline,122,confirmed,5,说话人名/称谓，需要固定。 | 最终全文说话人标签：5/5；类别：speaker/name-or-title / 说话人标签
女官２,女官2,confirmed,时空的欠片,pm-shard-baseline,123,confirmed,5,说话人名/称谓，需要固定。 | 最终全文说话人标签：4/4；类别：speaker/name-or-title / 说话人标签
女官３,女官3,confirmed,时空的欠片,pm-shard-baseline,124,confirmed,5,说话人名/称谓，需要固定。 | 最终全文说话人标签：5/5；类别：speaker/name-or-title / 说话人标签
女２,女2,confirmed,时空的欠片,pm-shard-baseline,125,confirmed,5,说话人名/称谓，需要固定。 | 最终全文说话人标签：5/5；类别：speaker/name-or-title / 说话人标签
宗像美冴,宗像美冴,confirmed,时空的欠片,pm-shard-baseline,126,confirmed,5,主库术语表 | 公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语 / 已审定术语
御剣悠陽,御剑悠阳,confirmed,时空的欠片,pm-shard-baseline,127,confirmed,5,主库术语表 | 公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语 / 已审定术语
応急処置,急救,confirmed,时空的欠片,pm-shard-baseline,128,confirmed,5,本篇审定 | 第二遍行级证据（1条）；类别：已审定术语 / 第二遍术语证据
榊原,榊原,confirmed,时空的欠片,pm-shard-baseline,129,confirmed,5,说话人名/称谓，需要固定。 | 最终全文说话人标签：3/3；类别：speaker/name-or-title / 说话人标签
涼宮遙,凉宫遥,confirmed,时空的欠片,pm-shard-baseline,130,confirmed,5,主库术语表 | 公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语 / 已审定术语
純夏・壬姫,纯夏、壬姬,confirmed,时空的欠片,pm-shard-baseline,131,confirmed,5,说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：1/1；类别：speaker/name-or-title / 说话人标签
美琴・壬姫,美琴、壬姬,confirmed,时空的欠片,pm-shard-baseline,132,confirmed,5,说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；类别：speaker/name-or-title / 说话人标签
風間祷子,风间祷子,confirmed,时空的欠片,pm-shard-baseline,133,confirmed,5,主库术语表 | 公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语 / 已审定术语
しりとり,接龙,confirmed,时空的欠片,pm-shard-baseline,134,confirmed,4,本篇审定 | 第二遍行级证据（2条）；类别：已审定术语 / 第二遍术语证据
アルフレッド・ウォーケン,阿尔弗雷德·沃肯,confirmed,时空的欠片,pm-shard-baseline,135,confirmed,4,主库术语表 | 公共总表；须以本篇最终正文核对适用语境 | 第二遍行级证据（1条）；类别：公共总表术语 / 已审定术语 / 第二遍术语证据
コブ,雪包,confirmed,时空的欠片,pm-shard-baseline,136,confirmed,4,本篇审定；コブ斜面按滑雪术语作“猫跳雪道” | 第二遍行级证据（1条）；类别：已审定术语 / 第二遍术语证据
スネイク軍団,斯内克军团,confirmed,时空的欠片,pm-shard-baseline,137,confirmed,4,第二遍行级证据（1条）；类别：第二遍术语证据
スロット,老虎机,confirmed,时空的欠片,pm-shard-baseline,138,confirmed,4,第二遍行级证据（2条）；类别：第二遍术语证据
トリガー,扳机,confirmed,时空的欠片,pm-shard-baseline,139,confirmed,4,第二遍行级证据（1条）；类别：第二遍术语证据
バカラ,百家乐,confirmed,时空的欠片,pm-shard-baseline,140,confirmed,4,本篇审定；词源说明行保留 Baccarat | 第二遍行级证据（1条）；类别：已审定术语 / 第二遍术语证据
バーニャ,banya,confirmed,时空的欠片,pm-shard-baseline,141,confirmed,4,本篇审定（俄式蒸汽浴文化词） | 第二遍行级证据（1条）；类别：已审定术语 / 第二遍术语证据
リスク,风险,confirmed,时空的欠片,pm-shard-baseline,142,confirmed,4,公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语
リョーリュー,löyly,confirmed,时空的欠片,pm-shard-baseline,143,confirmed,4,本篇审定（芬兰浴文化词） | 第二遍行级证据（1条）；类别：已审定术语 / 第二遍术语证据
伊隅みちる,伊隅美知留,confirmed,时空的欠片,pm-shard-baseline,144,confirmed,4,主库术语表 | 公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语 / 已审定术语
佐渡島,佐渡岛,confirmed,时空的欠片,pm-shard-baseline,145,confirmed,4,主库术语表 | 公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语 / 已审定术语
千鶴・茜,千鹤、茜,confirmed,时空的欠片,pm-shard-baseline,146,confirmed,4,说话人名/称谓，需要固定。 | 最终全文说话人标签：3/3；类别：speaker/name-or-title / 说话人标签
夕呼・まりも,夕呼、麻理茉,confirmed,时空的欠片,pm-shard-baseline,147,confirmed,4,说话人名/称谓，需要固定。 | 最终全文说话人标签：4/4；类别：speaker/name-or-title / 说话人标签
大和,大和,confirmed,时空的欠片,pm-shard-baseline,148,confirmed,4,公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语
御剣達,御剑她们,confirmed,时空的欠片,pm-shard-baseline,149,confirmed,4,第二遍行级证据（1条）；类别：第二遍术语证据
技師,技师,confirmed,时空的欠片,pm-shard-baseline,150,confirmed,4,最终全文说话人标签：4/4；类别：说话人标签
月詠・真耶,月咏、真耶,confirmed,时空的欠片,pm-shard-baseline,151,confirmed,4,说话人名/称谓，需要固定。 | 最终全文说话人标签：4/4；类别：speaker/name-or-title / 说话人标签
本国,本国,confirmed,时空的欠片,pm-shard-baseline,152,confirmed,4,公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语
林間コース,林间雪道,confirmed,时空的欠片,pm-shard-baseline,153,confirmed,4,本篇审定 | 第二遍行级证据（2条）；类别：已审定术语 / 第二遍术语证据
柏木・壬姫,柏木、壬姬,confirmed,时空的欠片,pm-shard-baseline,154,confirmed,4,说话人名/称谓，需要固定。 | 最终全文说话人标签：2/2；类别：speaker/name-or-title / 说话人标签
水月・武,水月、武,confirmed,时空的欠片,pm-shard-baseline,155,confirmed,4,说话人名/称谓，需要固定。 | 最终全文说话人标签：4/4；类别：speaker/name-or-title / 说话人标签
熱中症,中暑,confirmed,时空的欠片,pm-shard-baseline,156,confirmed,4,本篇审定 | 第二遍行级证据（3条）；类别：已审定术语 / 第二遍术语证据
純夏・柏木,纯夏、柏木,confirmed,时空的欠片,pm-shard-baseline,157,confirmed,4,说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；类别：speaker/name-or-title / 说话人标签
茜・築地,茜、筑地,confirmed,时空的欠片,pm-shard-baseline,158,confirmed,4,说话人名/称谓，需要固定。 | 最终全文说话人标签：2/2；类别：speaker/name-or-title / 说话人标签
衛星,卫星,confirmed,时空的欠片,pm-shard-baseline,159,confirmed,4,公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语
お姫様だっこ,公主抱,confirmed,时空的欠片,pm-shard-baseline,160,confirmed,3,本篇审定 | 第二遍行级证据（2条）；类别：已审定术语 / 第二遍术语证据
イルマ・ピアティフ・ウォーケン,伊尔玛、皮亚蒂芙、沃肯,confirmed,时空的欠片,pm-shard-baseline,161,confirmed,3,说话人名/称谓，需要固定。 | 最终全文说话人标签：3/3；类别：speaker/name-or-title / 说话人标签
エロ大臣タケル爆誕,色鬼大臣武横空出世,confirmed,时空的欠片,pm-shard-baseline,162,confirmed,3,本篇审定 | 第二遍行级证据（1条）；类别：已审定术语 / 第二遍术语证据
ギャンブル,赌博,confirmed,时空的欠片,pm-shard-baseline,163,confirmed,3,第二遍行级证据（2条）；类别：第二遍术语证据
バル納め,巴尔收官战,confirmed,时空的欠片,pm-shard-baseline,164,confirmed,3,本篇审定 | 第二遍行级证据（2条）；类别：已审定术语 / 第二遍术语证据
ピアティフ・イルマ,皮亚蒂芙、伊尔玛,confirmed,时空的欠片,pm-shard-baseline,165,confirmed,3,说话人名/称谓，需要固定。 | 最终全文说话人标签：3/3；类别：speaker/name-or-title / 说话人标签
プルトニウム,钚,confirmed,时空的欠片,pm-shard-baseline,166,confirmed,3,本篇审定 | 第二遍行级证据（2条）；类别：已审定术语 / 第二遍术语证据
ミサイル,导弹,confirmed,时空的欠片,pm-shard-baseline,167,confirmed,3,公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语
ミニトマト,小番茄,confirmed,时空的欠片,pm-shard-baseline,168,confirmed,3,本篇审定 | 第二遍行级证据（3条）；类别：已审定术语 / 第二遍术语证据
ルージュ,口红,confirmed,时空的欠片,pm-shard-baseline,169,confirmed,3,本篇审定 | 第二遍行级证据（1条）；类别：已审定术语 / 第二遍术语证据
ローカライズ,本土化,confirmed,时空的欠片,pm-shard-baseline,170,confirmed,3,本篇审定 | 第二遍行级证据（1条）；类别：已审定术语 / 第二遍术语证据
医者,医生,confirmed,时空的欠片,pm-shard-baseline,171,confirmed,3,公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语
告白,告白,confirmed,时空的欠片,pm-shard-baseline,172,confirmed,3,公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语
壬姫・霞,壬姬、霞,confirmed,时空的欠片,pm-shard-baseline,173,confirmed,3,说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；类别：speaker/name-or-title / 说话人标签
少尉,少尉,confirmed,时空的欠片,pm-shard-baseline,174,confirmed,3,公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语
御剣冥夜,御剑冥夜,confirmed,时空的欠片,pm-shard-baseline,175,confirmed,3,主库术语表 | 公共总表；须以本篇最终正文核对适用语境；类别：公共总表术语 / 已审定术语
