jp,cn,context
ツェルベルス / ツェルベルス大隊,刻耳柏洛斯 / 刻耳柏洛斯大队,憧憬／再诞；希腊神话Cerberus的通行中文音译为刻耳柏洛斯；剧情明确利用三头神兽与三个中队的命名典故，保留音译比泛化意译更稳定。；来源 pm-ar-table:272。仅作语境审校参考，不自动替换。
ツェルベルス中隊,刻耳柏洛斯中队,憧憬／再诞；属刻耳柏洛斯编制下的中队层级，与大队不可混用。；来源 pm-ar-table:273。仅作语境审校参考，不自动替换。
ツェルベルス大隊,刻耳柏洛斯大队,憧憬／再诞；保留神话固有名并按编制层级译为大队。；来源 pm-ar-table:268。仅作语境审校参考，不自动替换。
ツェルベルス大隊全員,刻耳柏洛斯大队全员,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；与ツェルベルス固定部队名统一。；来源 pm-ar-table:262。仅作语境审校参考，不自动替换。
ツェルベルス大隊隊員,刻耳柏洛斯大队队员,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；与ツェルベルス固定部队名统一。；来源 pm-ar-table:263。仅作语境审校参考，不自动替换。
ツェルベルス部隊全員,刻耳柏洛斯部队全员,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；与ツェルベルス固定部队名统一。；来源 pm-ar-table:264。仅作语境审校参考，不自动替换。
ツー,Two,本作原文命中；CRsa 补漏审核范围；2026-09-04 CRsa 术语审核记录；缩写和专名均须结合原注语境。；来源 photon-native:contextual_terms:10。仅作语境审校参考，不自动替换。
テストベッド,试验平台,憧憬／再诞；按技术验证用途自然意译。；来源 pm-ar-table:169。仅作语境审校参考，不自动替换。
テュフォーン副艦長,提丰副舰长,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；舰名与职务固定。；来源 pm-ar-table:226。仅作语境审校参考，不自动替换。
テュフォーン艦長,提丰舰长,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；舰名与职务固定。；来源 pm-ar-table:227。仅作语境审校参考，不自动替换。
テンピュール,TEMPUR泰普尔,憧憬／再诞；清十郎将触感联想到记忆棉品牌的笑料，保留拉丁字母品牌并附通行中文名。；来源 pm-ar-table:122。仅作语境审校参考，不自动替换。
テープレコーダー,录音机,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:55。仅作语境审校参考，不自动替换。
デザイナーズハウス,设计师住宅,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:324。仅作语境审校参考，不自动替换。
デルタチーム,Delta Team,憧憬／再诞；保留英文式小队名。；来源 pm-ar-table:274。仅作语境审校参考，不自动替换。
データ,数据,憧憬／再诞；技术与训练语境固定为数据。 | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:170。仅作语境审校参考，不自动替换。
データベース,数据库,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:113。仅作语境审校参考，不自动替换。
トリガー,扳机,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:188。仅作语境审校参考，不自动替换。
トリースタ・シェスチナ,特丽斯塔·谢斯蒂娜,憧憬／再诞；按日语读音统一音译为“特丽斯塔·谢斯蒂娜”。；来源 pm-ar-table:320。仅作语境审校参考，不自动替换。
トレイルラン・コース,越野骑乘路线,憧憬／再诞；该句位于骑马训练场，后文早駆明确指一起策马疾驰，不能按现代徒步运动译为越野跑步道。；来源 pm-ar-table:239。仅作语境审校参考，不自动替换。
ドエロ,超级色狼,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:325。仅作语境审校参考，不自动替换。
ドクター,博士,憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:56。仅作语境审校参考，不自动替换。
ドクター香月,香月博士,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:57。仅作语境审校参考，不自动替换。
ドタキャン,临时爽约,时空的欠片；语境型；本篇审定；承诺语境可作“临时反悔” | 第二遍行级证据（1条）；来源 pm-shard-table:255。仅作语境审校参考，不自动替换。
ドーバー城要塞基地,多佛城要塞基地,憧憬／再诞；Dover Castle 含义明确，地名意译/通译。；来源 pm-ar-table:294。仅作语境审校参考，不自动替换。
ドーバー基地群,多佛基地群,憧憬／再诞；Continue existing Dover terminology.；来源 pm-ar-table:282。仅作语境审校参考，不自动替换。
ナイフ,刀,时空的欠片；语境型；第二遍行级证据（2条）；来源 pm-shard-table:89。仅作语境审校参考，不自动替换。
ニミッツ,尼米兹,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ニュートリノ,中微子,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:106。仅作语境审校参考，不自动替换。
ノウハウ,技术诀窍,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:326。仅作语境审校参考，不自动替换。
ハイパーセラミック,超陶瓷,憧憬／再诞；采用简洁技术译名，已反查全部命中。；来源 pm-ar-table:188。仅作语境审校参考，不自动替换。
ハイヴ,巢穴,憧憬／再诞；沿用系列通行中文译名“巢穴”，与巢穴攻略战、巢穴内战斗等组合保持一致。 | 沿用 Adoration 与系列通行中文译名，已回改 HIVE 混用。；来源 pm-ar-table:2。仅作语境审校参考，不自动替换。
ハギス,哈吉斯,憧憬／再诞；采用该苏格兰菜名的通行音译“哈吉斯”，并保留菜名识别度。；来源 pm-ar-table:279。仅作语境审校参考，不自动替换。
ハッスルハッスル,HUSTLE！HUSTLE～！,憧憬／再诞；用户审定：保留口号感，固定为“HUSTLE！HUSTLE～！”。；来源 pm-ar-table:326。仅作语境审校参考，不自动替换。
ハワイ,夏威夷,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:327。仅作语境审校参考，不自动替换。
バカラ,百家乐,时空的欠片；本篇审定；词源说明行保留 Baccarat | 第二遍行级证据（1条）；来源 pm-shard-table:189。仅作语境审校参考，不自动替换。
バキャラット,巴恰拉特,时空的欠片；本篇审定（误读梗） | 第二遍行级证据（1条）；来源 pm-shard-table:328。仅作语境审校参考，不自动替换。
バグ,BUG,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:329。仅作语境审校参考，不自动替换。
バトルロイヤル,大乱斗,时空的欠片；第二遍行级证据（2条）；来源 pm-shard-table:256。仅作语境审校参考，不自动替换。
バルキリーマム,Valkyrie Mom,憧憬／再诞；戏仿场景中的片假名变体仍统一为 Valkyrie Mom。；来源 pm-ar-table:176。仅作语境审校参考，不自动替换。
バルジャーノン,巴尔加农,时空的欠片；本篇审定 | カタカナ/英文式词，按规则优先判断是否适合意译。 | 第二遍行级证据（7条）；来源 pm-shard-table:55。仅作语境审校参考，不自动替换。
バル納め,巴尔收官战,时空的欠片；本篇审定 | 第二遍行级证据（2条）；来源 pm-shard-table:216。仅作语境审校参考，不自动替换。
バーニャ,banya,时空的欠片；本篇审定（俄式蒸汽浴文化词） | 第二遍行级证据（1条）；来源 pm-shard-table:190。仅作语境审校参考，不自动替换。
パウル・ラダビノッド,保罗·拉达比诺德,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:257。仅作语境审校参考，不自动替换。
パパ,爸爸,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：2/2；来源 pm-shard-table:80。仅作语境审校参考，不自动替换。
パンダレベル,熊猫级,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:330。仅作语境审校参考，不自动替换。
パンフレット,宣传册,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:331。仅作语境审校参考，不自动替换。
ヒカリゴケ,光藓,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:332。仅作语境审校参考，不自动替换。
ヒロシ,宙,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:258。仅作语境审校参考，不自动替换。
ヒント,线索,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:131。仅作语境审校参考，不自动替换。
ピアティフ,皮亚蒂芙,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；本篇审定（覆盖主库旧译） | 说话人名/称谓，需要固定。; 皮亚蒂芙.; Extracted from current cn_text speaker brackets.; Teacher/assistant name. | 公共总表；须以本篇最终正文核对适用语境 | 第二遍行级证据（86条） | 最终全文说话人标签：269/269；来源 pm-shard-table:23。仅作语境审校参考，不自动替换。
ピアティフ・イルマ,皮亚蒂芙、伊尔玛,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：3/3；来源 pm-shard-table:217。仅作语境审校参考，不自动替换。
ピンクのビキニ,粉色比基尼,时空的欠片；本篇审定 | 第二遍行级证据（2条）；来源 pm-shard-table:259。仅作语境审校参考，不自动替换。
ファルケンマイヤー,法尔肯迈尔,憧憬／再诞；按赫尔加罗泽全名与军衔命中统一。；来源 pm-ar-table:18。仅作语境审校参考，不自动替换。
ファルケンマイヤー少尉,法尔肯迈尔少尉,憧憬／再诞；Existing translation.; Helga's surname title.；来源 pm-ar-table:283。仅作语境审校参考，不自动替换。
ファルソ,Falso,憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:58。仅作语境审校参考，不自动替换。
ファーレンホルスト,法伦霍斯特,憧憬／再诞；按齐格琳德全名与军衔命中统一。；来源 pm-ar-table:19。仅作语境审校参考，不自动替换。
ファーレンホルスト中尉,法伦霍斯特中尉,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；人名加军衔，需统一军衔。; Extracted from current cn_text speaker brackets.；来源 pm-ar-table:304。仅作语境审校参考，不自动替换。
フィッシュ＆チップス,炸鱼薯条,憧憬／再诞；Natural Chinese rendering.；来源 pm-ar-table:284。仅作语境审校参考，不自动替换。
フェイズド・アレイ広域走査,相控阵广域扫描,憧憬／再诞；采用中文通行技术词“相控阵”，保留军武式夸张命名的笑点。；来源 pm-ar-table:132。仅作语境审校参考，不自动替换。
フェニーチェ,菲尼切,憧憬／再诞；按日语发音统一音译为“菲尼切”。；来源 pm-ar-table:342。仅作语境审校参考，不自动替换。
フォイルナー,福伊尔纳,憧憬／再诞；按伊尔芙莉德全名与军衔命中统一。；来源 pm-ar-table:20。仅作语境审校参考，不自动替换。
フォイルナー少尉,福伊尔纳少尉,憧憬／再诞；Existing translation.; Ilfriede's surname title.；来源 pm-ar-table:285。仅作语境审校参考，不自动替换。
フレッシュポリス,青春警察,时空的欠片；本篇审定（戏仿专名） | 第二遍行级证据（1条）；来源 pm-shard-table:333。仅作语境审校参考，不自动替换。
ブラウアー,布劳尔,憧憬／再诞；按全篇姓名与军衔命中统一。；来源 pm-ar-table:21。仅作语境审校参考，不自动替换。
ブラウアー少尉,布劳尔少尉,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；人名加军衔，需统一军衔。; Extracted from current cn_text speaker brackets.；来源 pm-ar-table:305。仅作语境审校参考，不自动替换。
ブラウアー少尉 / ヴォルフガング・ブラウアー,布劳尔少尉 / 沃尔夫冈·布劳尔,憧憬／再诞；人名沿用既定音译；本段 JP 明确出现“同じ男同士”“この男”“あの男”，人物性别统一按男性处理。；来源 pm-ar-table:34。仅作语境审校参考，不自动替换。
ブラウンのハイレグ,棕色高叉泳装,时空的欠片；本篇审定 | 第二遍行级证据（2条）；来源 pm-shard-table:260。仅作语境审校参考，不自动替换。
ブラジル,巴西,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:59。仅作语境审校参考，不自动替换。
ブリッド,Brid,憧憬／再诞；作为 β-Brid 的词干保留拉丁写法，避免与 Cybrid 混为一谈。；来源 pm-ar-table:243。仅作语境审校参考，不自动替换。
ブリーフィング,简报,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:334。仅作语境审校参考，不自动替换。
ブロック,区,"时空的欠片；语境型；区, used for tournament blocks such as E区, G区, C区.; Tournament block/section. Use E区/G区/C区, not 区块. | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:132。仅作语境审校参考，不自动替换。 | 憧憬／再诞；区, used for tournament blocks such as E区, G区, C区.; Tournament block/section. Use E区/G区/C区, not 区块. | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:16。仅作语境审校参考，不自动替换。"
ブーツ,雪靴,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:148。仅作语境审校参考，不自动替换。
プルトニウム,钚,时空的欠片；本篇审定 | 第二遍行级证据（2条）；来源 pm-shard-table:218。仅作语境审校参考，不自动替换。
プレアディス,普勒阿得斯,时空的欠片；本篇审定 | 第二遍行级证据（3条）；来源 pm-shard-table:122。仅作语境审校参考，不自动替换。
プレイ,play,憧憬／再诞；若只译成“比赛”会完全丢失下一句对措辞的吐槽；保留易产生歧义的英文 play 才能延续原笑点。；来源 pm-ar-table:155。仅作语境审校参考，不自动替换。
プレゼント,礼物,憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:60。仅作语境审校参考，不自动替换。
プロミネンス計画,Prominence计划,憧憬／再诞；计划固有名保留拉丁拼写，与后缀计划组合。；来源 pm-ar-table:236。仅作语境审校参考，不自动替换。
プール,泳池,憧憬／再诞；游泳训练场景固定为泳池。 | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。 | 跨篇统一采用更简洁自然的“泳池”。；来源 pm-ar-table:151。仅作语境审校参考，不自动替换。
ヘリ,直升机,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:108。仅作语境审校参考，不自动替换。
ヘルガ,赫尔嘉,憧憬／再诞；作为完整姓名赫尔加罗泽的爱称固定为“赫尔嘉”，保留妄想中骤然拉近距离的笑点。；来源 pm-ar-table:39。仅作语境审校参考，不自动替换。
ヘルガローゼ,赫尔加罗泽,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；说话人名/称谓，需要固定。; Used in speaker brackets.; Extracted from current cn_text speaker brackets.；来源 pm-ar-table:306。仅作语境审校参考，不自动替换。
ヘルガローゼ・ファルケンマイヤー,赫尔加罗泽·法尔肯迈尔,憧憬／再诞；沿用本篇既定人名译法，并以完整姓名首次正式登场行作为代表定位。；来源 pm-ar-table:22。仅作语境审校参考，不自动替换。
ベアーゴォー,巨熊号,时空的欠片；作品上下文与出处核验；来源 pm-shard-table:335。仅作语境审校参考，不自动替换。
ベガ・ビーチ,织女星海滩,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:133。仅作语境审校参考，不自动替换。
ベスターナッハ,贝斯特纳赫,憧憬／再诞；按布丽吉特全名与军衔命中统一。；来源 pm-ar-table:23。仅作语境审校参考，不自动替换。
ベスターナッハ中尉,贝斯特纳赫中尉,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；人名加军衔，需统一军衔。; Extracted from current cn_text speaker brackets.；来源 pm-ar-table:307。仅作语境审校参考，不自动替换。
ベスターナッハ家,贝斯特纳赫家,憧憬／再诞；沿用本篇人名体系中的既定音译，并以家族全称固定。；来源 pm-ar-table:160。仅作语境审校参考，不自动替换。
ベルナデッド,贝尔纳黛特,"憧憬／再诞；Riviere given name, flagged for later cross-check.；来源 pm-ar-table:286。仅作语境审校参考，不自动替换。"
ベルナデッド・ル・ティグレ・ド・ラ・リヴィエール / ベルナデッド / リヴィエール,贝尔纳黛特·勒蒂格雷·德·拉·里维埃尔 / 贝尔纳黛特 / 里维埃尔,憧憬／再诞；依据仓库总术语表中已确认的同一 TDA / Euro Front 角色译名，统一为贝尔纳黛特相关译名。；来源 pm-ar-table:36。仅作语境审校参考，不自动替换。
ペダル,脚踏板,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:336。仅作语境审校参考，不自动替换。
ホテル,酒店,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:90。仅作语境审校参考，不自动替换。
ホワイトハウス,白宫,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:261。仅作语境审校参考，不自动替换。
ボインで悩殺作戦,巨乳迷魂作战,憧憬／再诞；A-01成员反复使用的戏称作战名，固定意译。；来源 pm-ar-table:104。仅作语境审校参考，不自动替换。
ポリゴンＣＧゲーム,多边形CG游戏,时空的欠片；本篇审定；来源 pm-shard-table:337。仅作语境审校参考，不自动替换。
マイルドクルー,迈尔德·克鲁,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:134。仅作语境审校参考，不自动替换。
マイルドクルー横幅,迈尔德·克鲁横幅,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:168。仅作语境审校参考，不自动替换。
マジシャンズ・シルバー,魔术师之银,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:338。仅作语境审校参考，不自动替换。
ママ,妈妈,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:140。仅作语境审校参考，不自动替换。
ミキ,壬姬,仅指珠濑壬姬（壬姫）的名字读音/自称，不是独立人物美纪
ミサイル,导弹,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:219。仅作语境审校参考，不自动替换。
ミニトマト,小番茄,时空的欠片；本篇审定 | 第二遍行级证据（3条）；来源 pm-shard-table:220。仅作语境审校参考，不自动替换。
ミュン,缪恩,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；本篇审定 | 说话人名/称谓，需要固定。 | 最终全文说话人标签：68/68；来源 pm-shard-table:44。仅作语境审校参考，不自动替换。
メガフロート,巨型浮体,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:123。仅作语境审校参考，不自动替换。
メガフロート技術,巨型浮体技术,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:339。仅作语境审校参考，不自动替换。
メートル,米,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:157。仅作语境审校参考，不自动替换。
ヤキソバ,炒面,时空的欠片；本篇审定 | 第二遍行级证据（3条）；来源 pm-shard-table:114。仅作语境审校参考，不自动替换。
ヤキソバ大盛り特盛りダブル,炒面大份特盛双倍,时空的欠片；第二遍行级证据（2条）；来源 pm-shard-table:262。仅作语境审校参考，不自动替换。
ユーコン,育空,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 憧憬／再诞；采用通行中文地名。；来源 pm-ar-table:148。仅作语境审校参考，不自动替换。
ユーラシア,欧亚大陆,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ユーロファイタス社,尤罗法伊塔斯公司,憧憬／再诞；本篇正文已统一使用该音译，但尚未获得系列官方拉丁拼写的本地证据。；来源 pm-ar-table:324。仅作语境审校参考，不自动替换。
ライフジャケット,救生衣,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:340。仅作语境审校参考，不自动替换。
ラダビノッド,拉达比诺德,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：29/29；来源 pm-shard-table:50。仅作语境审校参考，不自动替换。
ラダビノッド学園長,拉达比诺德校长,时空的欠片；语境型；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：11/20；其他标签：拉达比诺德学园长(9)；来源 pm-shard-table:77。仅作语境审校参考，不自动替换。
ラファール,阵风,憧憬／再诞；采用Dassault Rafale在中文中的通行译名“阵风”。；来源 pm-ar-table:185。仅作语境审校参考，不自动替换。
ララーシュタイン,拉拉施泰因,憧憬／再诞；按格哈德全名与军衔命中统一。；来源 pm-ar-table:24。仅作语境审校参考，不自动替换。
ララーシュタイン大尉,拉拉施泰因上尉,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；按中文军衔体系统一大尉为上尉，并与全文说话人标签一致。；来源 pm-ar-table:32。仅作语境审校参考，不自动替换。
リスク,风险,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:191。仅作语境审校参考，不自动替换。
リムジン,豪华轿车,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:82。仅作语境审校参考，不自动替换。
リョーリュー,löyly,时空的欠片；本篇审定（芬兰浴文化词） | 第二遍行级证据（1条）；来源 pm-shard-table:192。仅作语境审校参考，不自动替换。
ルナ,露娜,憧憬／再诞；统一 Luna 系列中文写法为“露娜”，并保留爱称相对完整姓名的亲近功能。；来源 pm-ar-table:40。仅作语境审校参考，不自动替换。
ルナテレジア,露娜特蕾西娅,"仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；说话人名/称谓，需要固定。; Earlier batches contain a variant, 卢娜特蕾吉娅; keep for later global term pass.; Extracted from current cn_text speaker brackets.; Short speaker/name form; normalize older 卢娜特蕾吉娅.；来源 pm-ar-table:8。仅作语境审校参考，不自动替换。"
ルナテレジア・ヴィッツレーベン,露娜特蕾西娅·维茨莱本,憧憬／再诞；统一旧表中的 Luna 系列写法为“露娜”，并保留完整姓名的既定音译。；来源 pm-ar-table:25。仅作语境审校参考，不自动替换。
ルージュ,口红,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:221。仅作语境审校参考，不自动替换。
ルール,规则,憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:61。仅作语境审校参考，不自动替换。
ルーレット,轮盘,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:341。仅作语境审校参考，不自动替换。
レイン・ダンサーズ,雨舞者,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
レオタード,紧身衣,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:263。仅作语境审校参考，不自动替换。
レストラン,餐厅,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:78。仅作语境审校参考，不自动替换。
レバッ,肝脏,时空的欠片；第二遍行级证据（3条）；来源 pm-shard-table:141。仅作语境审校参考，不自动替换。
レベル,等级,憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:62。仅作语境审校参考，不自动替换。
レンジ,射程,憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:63。仅作语境审校参考，不自动替换。
レンツォ,伦佐,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:64。仅作语境审校参考，不自动替换。
ロケテスト,场测,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:342。仅作语境审校参考，不自动替换。
ローカライズ,本土化,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:222。仅作语境审校参考，不自动替换。
ロート中隊,罗特中队,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；中队固有名采用稳定音译，保留与深红意象的剧情联系。；来源 pm-ar-table:269。仅作语境审校参考，不自动替换。
ワンピース,连体泳装,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:264。仅作语境审校参考，不自动替换。
ヴァルキリーズ,Valkyries,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:65。仅作语境审校参考，不自动替换。
ヴァルキリーマム,Valkyrie Mom,憧憬／再诞；呼号保留英文风格，与 Valkyries 同一命名体系。；来源 pm-ar-table:175。仅作语境审校参考，不自动替换。
ヴィッツレーベン,维茨莱本,憧憬／再诞；カタカナ/英文式词，按规则优先判断是否适合意译。; Surname component.；来源 pm-ar-table:6。仅作语境审校参考，不自动替换。
ヴィッツレーベン少尉,维茨莱本少尉,憧憬／再诞；Luna's surname title.；来源 pm-ar-table:287。仅作语境审校参考，不自动替换。
一同,众人,时空的欠片；语境型；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：53/55；其他标签：一同(2)；来源 pm-shard-table:51。仅作语境审校参考，不自动替换。 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:66。仅作语境审校参考，不自动替换。
七英雄,七英雄,憧憬／再诞；原词本身可直接形成自然中文称号，保留命名识别度。；来源 pm-ar-table:203。仅作语境审校参考，不自动替换。
上陸部隊,登陆部队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
下心,歪心思,时空的欠片；语境型；第二遍行级证据（4条）；来源 pm-shard-table:149。仅作语境审校参考，不自动替换。
不死身のヒロシ,不死之身的宙,时空的欠片；本篇审定（节目梗） | 第二遍行级证据（1条）；来源 pm-shard-table:343。仅作语境审校参考，不自动替换。
中尉,中尉,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:265。仅作语境审校参考，不自动替换。
二回生,二年级,憧憬／再诞；按中文学校语境译为“二年级”，避免日式残留“二回生/二年生”。；来源 pm-ar-table:276。仅作语境审校参考，不自动替换。
五次元効果爆弾,五维效应炸弹,憧憬／再诞；按第五计划相关技术语境固定为“五维效应炸弹”。；来源 pm-ar-table:335。仅作语境审校参考，不自动替换。
京塚,京塚,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:67。仅作语境审校参考，不自动替换。
京塚臨時曹長,京塚代理军士长,憧憬／再诞；按中文军衔体系统一曹长为军士长；保留原文“临时”身份信息。；来源 pm-ar-table:321。仅作语境审校参考，不自动替换。
人工ＥＳＰ発現体,人工ESP显现体,憧憬／再诞；保留 ESP 缩写，按研究对象身份直译。；来源 pm-ar-table:244。仅作语境审校参考，不自动替换。
人間的な、あまりにも人間的な,"《人性的,太人性的》",憧憬／再诞；采用尼采作品通行中文名。；来源 pm-ar-table:103。仅作语境审校参考，不自动替换。
介錯,介错,憧憬／再诞；保留有明确武家文化含义的专门词“介错”，上下文已呈现其在撑不住时结束痛苦的夸张用途。；来源 pm-ar-table:192。仅作语境审校参考，不自动替换。
令嬢,贵族小姐,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets.；来源 pm-ar-table:308。仅作语境审校参考，不自动替换。
任官,受衔 / 正式受衔,憧憬／再诞；中文不直接保留日式“任官”；在本场军官委任语境中用“受衔”自然且能保留制度含义。；来源 pm-ar-table:107。仅作语境审校参考，不自动替换。
伊隅,伊隅,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：21/21；来源 pm-shard-table:63。仅作语境审校参考，不自动替换。 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:68。仅作语境审校参考，不自动替换。
伊隅みちる,伊隅美知留,时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:193。仅作语境审校参考，不自动替换。
伊隅大尉,伊隅上尉,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；按中文军衔体系统一大尉为上尉，并与全文说话人标签一致。；来源 pm-ar-table:33。仅作语境审校参考，不自动替换。
